"run_id","candidate_model_id","window_id","grid_id","diagnostic_name","diagnostic_value","diagnostic_status","review_flag","notes"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","effective sample size","36","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","design rank","16","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","df residual","20","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","lead/lag sample loss","3","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","residual summary statistics","min=-0.0452047573745485; q1=-0.0164819072571546; median=0.000567070024390545; mean=6.99272755344383e-19; q3=0.024438023293657; max=0.0456876767045996; sd=0.0259797996835695","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_010","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL11","bridge_1940_1978","LL11","condition number warning","WARN_HIGH_CONDITION_NUMBER_1116001.95","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","effective sample size","34","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","design rank","22","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","df residual","12","CONTROLLED_PRELIMINARY","WARN","D12F diagnostic only"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","lead/lag sample loss","5","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","residual summary statistics","min=-0.0508653944179059; q1=-0.00939494273968211; median=0.00358440731597969; mean=-1.05430689199418e-19; q3=0.012695923881256; max=0.0237707524523739; sd=0.0177841852160721","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_011","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL22","bridge_1940_1978","LL22","condition number warning","WARN_HIGH_CONDITION_NUMBER_2012418.25","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","effective sample size","38","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","design rank","10","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","df residual","28","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","lead/lag sample loss","1","CONTROLLED_PRELIMINARY","PASS","Mechanical trimming only"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","residual summary statistics","min=-0.070956078355713; q1=-0.0194496032357713; median=-0.00254297823206305; mean=-8.44268945005365e-19; q3=0.0171134945977736; max=0.0724233330526836; sd=0.0301184372045285","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_012","RDOLS_ME_NRC_OMEGA_INT_BRIDGE_1940_1978_LL00","bridge_1940_1978","LL00","condition number warning","WARN_HIGH_CONDITION_NUMBER_931855.37","CONTROLLED_PRELIMINARY","WARN","Requires D12G review if WARN"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","effective sample size","31","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","design rank","16","CONTROLLED_PRELIMINARY","PASS","D12F diagnostic only"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","df residual","15","CONTROLLED_PRELIMINARY","WARN","D12F diagnostic only"
"D12F_RUN_013","RDOLS_ME_NRC_OMEGA_INT_PRE_1974_ALT_1940_1973_LL11","pre_1974_alt_1940_1973","LL11","missingness count","0","CONTROLLED_PRELIMINARY","PASS","Effective sample uses complete cases"
