year,r,mu,PyPK,B_real,B,pi,dlnr,phi_mu,phi_PyPK,phi_Br,phi_pi,regime,tendency_label
2001,0.1693503326949674,0.7769144177976012,1.1004648760974094,0.5739423933332164,0.6316034447664887,0.345118613597379,-0.06022104778838977,-0.047243872067437076,0.004375209509607986,-0.011280116952465669,-0.006072268278094928,Post-Fordist,reinforcing_crisis
2002,0.17434123834456702,0.7602232781529334,1.0996798380690929,0.5771359354931563,0.6346647520869687,0.361338788080059,0.029044974798942524,-0.021718022719928065,-7.136240235266489e-4,0.00554879763406535,0.04592782390833161,Post-Fordist,demand_drag
2003,0.1815080617356696,0.7575294292118679,1.1045908349273938,0.5813446698025837,0.642147994197826,0.373130954770732,0.04028555139341128,-0.0035497901031719126,0.004455900125273304,0.007265987547309782,0.03211345382400066,Post-Fordist,demand_drag
2004,0.18707935335984707,0.7412379243132394,1.0644891287883722,0.6130194840292551,0.6525525764845993,0.386769946268456,0.030232806366788045,-0.02174072787141962,-0.036979988469470565,0.05305290372651794,0.035900618981159704,Post-Fordist,demand_drag
2005,0.19312042519464778,0.7152799680112779,1.0276911606238852,0.6526823767009559,0.6707559092305612,0.402520162256147,0.031781082697242,-0.03564762949705208,-0.035180298307250286,0.06269388452088248,0.03991512598066238,Post-Fordist,demand_drag
2006,0.19672165201707525,0.6932140499264238,1.0048665592882124,0.6851751206084526,0.6885095659557017,0.412168528642874,0.018475836623192965,-0.03133520385435923,-0.022459938619180456,0.04858385144721311,0.023687127649519524,Post-Fordist,demand_drag
2007,0.18932097964155353,0.6728330906782464,1.0044897659328356,0.6890707188976787,0.6921644851366999,0.406520160824167,-0.038345916129929325,-0.029841534872572628,-3.750388669883052e-4,0.005669449543604321,-0.01379879193397282,Post-Fordist,reinforcing_crisis
2008,0.17809787154118073,0.6284976898872073,0.9832238321780588,0.7126478067024354,0.700692307499257,0.404415408211823,-0.061110640247810766,-0.0681649385517491,-0.021398198624881237,0.03364343297577044,-0.005190936046950978,Post-Fordist,reinforcing_crisis
2009,0.17338203726082085,0.608736192514363,1.023395221997829,0.684005584706874,0.7000080472088461,0.406885248988454,-0.02683577166864648,-0.03194735998810866,0.0400442302487161,-0.041021256266511597,0.006088614337257936,Post-Fordist,demand_drag
2010,0.18980109778857282,0.612277817805218,1.0151133768877547,0.7131134153565266,0.7238909671665239,0.42822994871823,0.09047920244629393,0.005801137731702488,-0.0081254410017495109,0.041674393220216543,0.05112911249612406,Post-Fordist,broad_expansion
2011,0.19052403006702687,0.6007776826732453,1.0023133917957885,0.7371315800458641,0.7388368541955588,0.42922738006462,0.003801658613608261,-0.018961176426591064,-0.012689587598100028,0.03312593533031294,0.002326487307986569,Post-Fordist,demand_drag
2012,0.19730764338327533,0.6066998901885076,1.0062052409489992,0.7484512769534629,0.7530955974655453,0.431837034012317,0.03498582348765189,0.009809300206800653,0.0038753476920887846,0.015239696574529893,0.006061479014232374,Post-Fordist,broad_expansion
2013,0.19733537471284646,0.5972540158461456,1.0049022331390975,0.7595272504022693,0.763250630059239,0.432891137467282,1.4053880770803495e-4,-0.015691743872152275,-0.0012958113964732882,0.01469009329909382,0.0024380007772396572,Post-Fordist,demand_drag
2014,0.19749058361388006,0.5883230955852555,0.999688442710726,0.778336854359377,0.7780943578388908,0.431417968460066,7.862143091419416e-4,-0.015066230801710656,-0.005201862153708318,0.024463204437349506,-0.003408897172788472,Post-Fordist,reinforcing_crisis
2015,0.19928724782629012,0.5982708182128202,1.0137553127987566,0.773342544338936,0.7839801129369044,0.424890130802086,0.009056335056085718,0.01676724542370689,0.013973173005683235,-0.0064373185224330665,-0.015246764850871286,Post-Fordist,profit_squeeze
2016,0.19153979495211557,0.5832850539106219,1.0155025075594633,0.7753580624643163,0.7873780566889601,0.417056469616234,-0.03965164678585498,-0.025367514600457053,0.0017220041484371888,0.0026028520353476026,-0.018608988369182677,Post-Fordist,reinforcing_crisis
2017,0.19054013069926345,0.5802517852265394,1.01533713809222,0.7814903752411502,0.7934762010439645,0.413843433046624,-0.0052327613506342185,-0.005213888299149927,-1.6285822266942467e-4,0.007877895295636456,-0.007733910124451349,Post-Fordist,reinforcing_crisis
2018,0.19338739689772003,0.5814465125362516,1.0183272463312587,0.7869086051896899,0.8013304730371885,0.415056040915459,0.01483258268701948,0.0020568640467546473,0.0029406134233499297,0.006909277002596609,0.0029258282143185266,Post-Fordist,broad_expansion
2019,0.19092098602042162,0.5741651481286646,1.0127364582239111,0.7958576000499652,0.8059940071251838,0.412558014898778,-0.012835758208644243,-0.012601916399665014,-0.00550529480231963,0.011308164393277281,-0.006036711399937111,Post-Fordist,reinforcing_crisis
2020,0.19321019656621416,0.5434864081597338,1.0203094508607624,0.8817494275529387,0.8996572742233304,0.39515206794923,0.01191904094546814,-0.054912371184763886,0.007449932762477426,0.10248764446770492,-0.04310616509995002,Post-Fordist,reinforcing_crisis
2021,0.20909102214747732,0.5471667532510511,0.9785436377689448,0.9291612008303788,0.9092247815343201,0.420285513029205,0.07899097218046625,0.006748908252072527,-0.04179586102628059,0.05237432466958897,0.06166360028508511,Post-Fordist,broad_expansion
2022,0.20362222728743185,0.5334111879464317,0.9599872609221081,0.9136198614932577,0.8770634283589482,0.43524326633559,-0.026503219753632568,-0.025461020209202823,-0.019145367936453547,-0.01686766609002202,0.03497083448204563,Post-Fordist,demand_drag
2023,0.2082242527200394,0.5431772686567089,0.9845088483864954,0.8970597427065244,0.8831632542258863,0.434058968638725,0.022349186934554233,0.0181431419658441,0.025222871233538884,-0.018292115843279763,-0.0027247104215486484,Post-Fordist,profit_squeeze
2024,0.20966283627802448,0.5480810247106004,1,0.8878286967953458,0.8878286967953458,0.43087124509157,0.006885061916240165,0.008987403058308141,0.015612393247565888,-0.010343647266687461,-0.007371087122946651,Post-Fordist,profit_squeeze
