year,analysis_window_flag,price_base_year_used,price_base_rule,pY,pC,pG,pK,pX,pM,pTI,wp,pCPI,X_FOB,M_CIF,GDP_real,C_real,G_real,FBKF_ME,FBKF_NR,I_total,I_ME,I_NR,Kg_ME,Kg_NR,Kg_total,Kn_ME,Kn_NR,Kn_total,omega,pi,exploitation_rate
1960,TRUE,NA,NA,4.4019324513629476e-5,3.836791057963322e-5,2.474362435003467e-5,3.973425811330928e-5,6.1003692177933065e-5,4.9624104388425046e-5,108.27896712115349,47.964163767002866,5.0574015833450484e-5,951180.4961334041,1217845.9497959046,9688926.504720557,NA,NA,313580.96729950694,1259369,1592903.141677872,2202446.1959498557,4667636.503388602,22385372.75877261,68097652.95323151,90483025.71200413,12950191.296492476,41033175.2866967,53983366.583189175,0.6093126657451776,0.3906873342548224,0.6411935221747267
1961,TRUE,NA,NA,4.732380521103672e-5,4.068077888868719e-5,2.8506396184919955e-5,4.5820969398314834e-5,5.695014191154474e-5,4.8783281761958705e-5,107.64970431560998,50.38180064375546,5.5432798269900106e-5,1010486.138369755,1448198.9616012543,10152296.43718576,NA,NA,397303.11442934774,1195868,1613380.7979676987,2673734.551180508,5022091.381873356,23965302.010044936,71273846.7814932,95239148.79153813,13864198.235728389,42927834.96014376,56792033.19587215,0.6588962612543945,0.3411037387456055,0.5176895951666481
1962,TRUE,NA,NA,5.3442856200943844e-5,4.578330448041944e-5,3.369730117144014e-5,4.871129006944757e-5,6.491383398949864e-5,5.108260863918927e-5,103.05199971302874,50.298128132886156,6.323251319841383e-5,1054516.324016511,1277257.9262808259,10633376.753748316,NA,NA,361904.58459850925,1426754,1811348.0644826824,2535253.863514534,5252044.694760246,25335258.074631978,74590747.65589267,99926005.73052464,14656733.31188608,44916460.44551279,59573193.757398866,0.5941905193772513,0.4058094806227487,0.6829618908225973
1963,TRUE,NA,NA,7.719854128924752e-5,6.739637183237742e-5,4.490948358968319e-5,6.941469728897741e-5,1.0170211690285304e-4,8.754442098996797e-5,100.99095971876815,52.924748372317374,8.650706189883492e-5,1061466.4016463386,1201729.335228026,11306060.64095473,NA,NA,302885.753904942,1749825,2078749.7865966992,2228136.7596432245,5928859.169690821,26321355.43168608,78489437.42340937,104810792.85509545,15227201.784688788,47276257.424464405,62503459.20915319,0.5576814422070525,0.4423185577929475,0.7931383838817541
1964,TRUE,NA,NA,1.1488597471639151e-4,1.0180085516533017e-4,6.522271554816851e-5,1.0716505909723461e-4,1.4070858862125625e-4,1.0741666097444165e-4,102.95194922787046,50.53961530389019,1.2459608512002722e-4,1191441.8793989513,1263576.2182765342,11557630.950735234,NA,NA,339476.494051527,1596262,1960293.711016905,2435336.563805826,5902489.2350888,27433935.72898412,82262258.68525481,109696194.41423893,15870842.068814576,49554196.0656108,65425038.13442538,0.6767742739731578,0.3232257260268422,0.4775975365157895
1965,TRUE,NA,NA,1.60164116709004e-4,1.3599693757087463e-4,9.393233834590756e-5,1.5534283999512317e-4,2.156161074337501e-4,1.4705441623813319e-4,115.84257144211642,51.83721969766874,1.7963017591754327e-4,1231609.1982200935,1283471.1189187055,11651050.637611322,NA,NA,292369.8038919817,1526405,1841846.3138392037,2125056.8591974047,5295059.714573738,28153180.77919087,85325392.25071697,113478573.02990784,16286933.464280952,51410237.15006076,67697170.6143417,0.6381088691725728,0.3618911308274272,0.5671307018451045
1966,TRUE,NA,NA,2.063730238640322e-4,1.6921388128912036e-4,1.2739815269717793e-4,2.0923823633449615e-4,3.202850305301244e-4,1.6354405840659022e-4,142.39725320346312,52.016329440567674,2.4780915369522217e-4,1293972.1149192594,1649240.5779394894,12950278.200823154,NA,NA,374517.24994306325,1502754,1901084.7986155066,2630144.7083470724,5467325.124495845,29293434.036761858,88457200.64304996,117750634.6798118,16946582.86887736,53293382.970220126,70239965.83909748,0.553495656761064,0.44650434323893595,0.8066989104337007
1967,TRUE,NA,NA,2.6027330550749104e-4,2.1274188056203522e-4,1.622402436715704e-4,2.685591272418279e-4,3.939735659350145e-4,2.2478517024170016e-4,135.58971443723507,54.73031576944497,3.2004996384781405e-4,1269896.106950456,1514470.433940269,13370718.576514369,NA,NA,392800.3952703527,1524602,1941725.0152784176,2745628.1733012665,5759385.171034908,30465451.334100284,91777666.14081857,122243117.47491884,17624608.12969785,55291290.68187879,72915898.81157663,0.5791916250038267,0.4208083749961733,0.726544302144205
1968,TRUE,NA,NA,3.491899057509347e-4,2.8564011414834955e-4,2.1393606341177637e-4,3.5489312639254807e-4,5.206498589174782e-4,2.89096748453703e-4,145.1132236735698,53.90267378143552,4.1394557359426663e-4,1296522.4669401261,1655307.5609911259,13849416.79463108,NA,NA,453511.93419818196,1645258,2125393.2364949626,3139391.2836926,6190046.425775323,31947838.175406124,95425685.79234087,127373523.967747,18482185.68166382,57479307.91611951,75961493.59778333,0.5394079097121091,0.46059209028789094,0.8538845686073023
1969,TRUE,NA,NA,4.89771006681864e-4,3.916949948970217e-4,2.9153965702771007e-4,4.7916806234263667e-4,8.598233404169328e-4,3.962160521246511e-4,171.28858854261662,58.99830187013983,5.354045248462069e-4,1428363.3005913943,1932609.3144010664,14364726.830165416,NA,NA,439353.3054571149,1765306,2232625.834896188,3086000.640676279,6298155.602922801,33293573.449728668,99078940.37684555,132372513.82657422,19260708.75674127,59675437.54176207,78936146.29850334,0.5005314522990513,0.49946854770094873,0.9978764479370469
1970,TRUE,NA,NA,6.904158550181506e-4,5.549116744684351e-4,4.5505441232567977e-4,6.835760235075472e-4,0.0010765672548811117,5.574680972520151e-4,173.9288750712119,63.84844785214676,7.224355142911436e-4,1259008.0346374845,1882748.6799049377,14660107.037449896,NA,NA,463040.939347318,1883912,2376724.491036919,3258782.0882569663,6941738.813528664,34728440.75790891,103272712.62901574,138001153.38692465,20090795.721397035,62200436.312238365,82291232.03363541,0.5092767661923354,0.4907232338076646,0.9635688615379249
1971,TRUE,NA,NA,0.00081986474975034905,6.431379816055165e-4,6.242990443547239e-4,8.837429033077323e-4,0.0010379449335667591,5.699207933748875e-4,127.04652353625458,75.22650319559361,9.262621418945769e-4,1416342.167334876,1828785.0449661117,15972953.989602089,NA,NA,413042.03750658507,1879489,2321612.2368518612,2950481.007229546,6294147.028849205,35770939.410028554,106715649.26133925,142486588.6713678,20693892.981235795,64278223.98526099,84972116.9664968,0.5623170054214746,0.43768299457852544,0.7783563192268533
1972,TRUE,NA,NA,0.0015369339468903303,0.001164165722695539,0.0011514092120379752,0.0018496664781064648,0.00200235581804822,0.001120993811288184,120.1955825311693,35.33083602725118,0.0032899422505268273,1260235.6735514142,1966210.8920168497,15779175.459507676,NA,NA,314937.2104567951,1516974,1855149.3582604919,2266241.3474522075,4907863.601799471,36044899.08448189,108669035.9096565,144713934.9941384,20852381.7511092,65468455.66139735,86320837.41250655,0.6903477385078481,0.30965226149215186,0.4485453405865421
1973,TRUE,NA,NA,0.007983205684347955,0.0065468490016319285,0.004539703426116547,0.009507000403109917,0.013227172876545682,0.006788279210643879,154.12695416645278,14.573990377252038,0.023230280404239086,1289304.621412301,2197100.2870430625,14901061.473721752,NA,NA,363762.5149791797,1357787,1743387.7033433928,2528529.226600218,4900134.585424731,36498478.35170685,110513147.33055796,147011625.6822648,21114782.48671384,66585119.01622471,87699901.50293855,0.5450286722310115,0.4549713277689885,0.8347658590264918
1974,TRUE,NA,NA,0.06358585893691238,0.04962035712241822,0.03981820826591237,0.08534938351441994,0.10632088903334531,0.06554837876492323,151.35372601002834,23.212162390499728,0.10899565888879467,1561658.363105417,2215248.768228875,15046273.832487073,NA,NA,319294.3896845518,1731299,2076605.5632018978,2553886.2802115274,5758493.162703237,36898736.955738515,113117933.36949752,150016670.32523602,21346336.615659308,68171007.4377743,89517344.05343361,0.3944709808320595,0.6055290191679406,1.5350407218566378
1975,TRUE,NA,NA,0.28213066490321775,0.29505184849607946,0.16165429650361082,0.44095227123145536,0.49898120635815296,0.5431646761289649,84.05041478181059,24.38301723062569,0.48320388362182687,1680974.5993747632,1518019.9843459616,13103757.735814266,NA,NA,340804.3957237621,1268978,1630202.7965762084,2595091.416317536,4613929.272712143,37266324.21654065,114484827.86986266,151751152.0864033,21558990.0030672,68997577.45963056,90556567.46269776,0.4927199418713367,0.5072800581286633,1.029550491100538
1976,TRUE,NA,NA,0.9921316100397531,0.9834347876629623,0.5209510678318191,1.4166403922185131,1.4375385755727013,1.4668541433587767,92.06839059407883,34.22306877655086,1.4463530187816247,2169935.800625673,1562866.4789979763,13564778.453149129,NA,NA,312904.26017669257,1062192,1392539.6220360966,2279726.167230448,4035975.8576601064,37250154.20827187,115185072.65441573,152435226.8626876,21549635.47041755,69428346.78585592,90977982.25627348,0.485581282901028,0.514418717098972,1.0593874500797464
1977,TRUE,NA,NA,2.0253526994363082,2.032308651686558,1.197439073005266,2.6867231995785983,2.3572583490691854,2.674134587327751,81.6425329903704,40.21718217053871,2.66329969794753,2129349.013084836,1922839.6209153219,14902086.19033145,NA,NA,461772.1124494333,1180690,1663297.0618253667,3149180.940986041,5117721.9315725705,38041439.549535275,116883422.49704611,154924862.0465814,22007402.9889618,70443362.32969253,92450765.31865433,0.5044183129122691,0.49558168708773087,0.9824815523181151
1978,TRUE,NA,NA,3.179477943807354,3.096626292174254,1.8679287868952872,4.3168595222735275,3.566778943255771,4.096523179710406,93.71999478016588,46.81491886246261,3.6534616885361766,2030013.9361032988,2507780.64606889,16126649.363426292,NA,NA,570520.7199694905,1353878,1948810.0897087178,3841299.613011946,6508826.103667716,39469500.0019219,119894017.28930467,159363517.29122657,22833552.110562418,72241729.12106404,95075281.23162645,0.44556606720713365,0.5544339327928663,1.2443360785262008
1979,TRUE,NA,NA,4.664107218465608,4.46194692799049,2.648241525904464,6.089181769323895,5.5926419781319066,5.721234552993572,94.20905069698331,49.80383691502226,5.074658285376748,2513723.3998367093,2907185.893682064,17462203.461874485,NA,NA,639090.9943282104,1570815,2237939.0790297715,4395440.709544136,7177602.369918366,41400373.22414902,123496110.35871749,164896483.5828665,23950584.10581104,74385462.03809945,98336046.1439105,0.42999958432581764,0.5700004156741824,1.3255836434536732
1980,TRUE,NA,NA,6.033529968729551,5.619144459001892,3.4870704998975843,7.537447397833594,6.670712575696207,6.824264906264535,97.26999458244485,55.74421053039359,6.659895312032595,2562684.641683302,3255273.058376353,18849559.294542953,NA,NA,817640.1894494977,1982988,2836154.6993797463,5319295.640083559,8813561.224166181,44204254.88727083,128654381.3717984,172858636.25906923,25572661.356944826,77453940.08438815,103026601.44133298,0.4640163206762214,0.5359836793237787,1.1550966107025666
