year,Y,K,omega,theta,g_K,g_Yp,Y_star,mu,mu_ect,period
1969,3627738.0319148935,6360906.179073849,0.641990534144692,0.6736438447599777,0.05953724143910226,0.03895833797586911,4926139.88130834,0.7364261103668454,0.9036572352736507,Fordist
1970,3559188.0192183866,6709264.793290934,0.653676971146293,0.5234626114961038,0.05476556396368765,0.027910255898771948,5065566.369693057,0.7026239041132241,0.6757901739018776,Fordist
1971,3654849.6377522154,7049128.314572662,0.64098353494678,0.6865846907524258,0.05065585153556348,0.033927300777736195,5240376.005335616,0.6974403428362662,0.8664025582678293,Fordist
1972,3887808.9097153186,7384841.587414716,0.641336309259143,0.6820512233416807,0.047624792436822896,0.031732773720662966,5409334.250467315,0.7187222548466937,0.8867122502789649,Fordist
1973,4131343.186702082,7930374.610225065,0.64395880536602,0.6483497881218145,0.07387200068584387,0.046208413907687214,5665156.0482586,0.7292549669434095,0.8561439338790777,Fordist
1974,4091901.785166843,8891761.427951917,0.654104621464026,0.5179669200279484,0.1212284242521512,0.05926830868758849,6011069.8768439805,0.6807277022231578,0.6657149209681313,Post-Fordist
1975,4052858.411510791,9095367.275638591,0.6334561606626,0.7833182249409933,0.022898258048919783,0.01773434617422739,6118623.145526713,0.6623807865130263,0.9114483694486164,Post-Fordist
1976,4339158.7810433,9537699.775403619,0.630753371060034,0.8180515038446092,0.048632725470008124,0.03884693397607081,6360990.021326263,0.6821514837306076,0.980791508948459,Post-Fordist
1977,4619806.517334361,10038791.324961554,0.630403843120234,0.8225432524461844,0.05253798728810691,0.04211781591435292,6634622.990759468,0.6963178652002847,1.0066468152337813,Post-Fordist
1978,4905061.256275679,10668585.517945834,0.636152526475711,0.7486674975132868,0.06273605781786595,0.045553998431539525,6943846.302899976,0.7063896639283571,0.93694965018821,Post-Fordist
1979,5037703.947050679,11363844.570747295,0.649784944902043,0.5734786515583359,0.06516881283202475,0.036205597631407606,7199858.988830241,0.699694807199155,0.7647601252873206,Post-Fordist
1980,5016122.845647811,11986488.520232731,0.654602937898175,0.5115631053643437,0.054791663649487114,0.027288449983822488,7399037.253954784,0.6779426394922791,0.6947046102453556,Post-Fordist
1981,5206837.962642411,12432088.032722099,0.637119794842787,0.7362372284548293,0.03717515031505786,0.026873259581722646,7600569.285783249,0.6850589432007052,0.8765330421675863,Post-Fordist
1982,5084278.622959417,12561992.696221925,0.637923812080797,0.7259048833308874,0.010449142827649601,0.007545728905773756,7658138.047122534,0.6639053242021123,0.8411539967565523,Post-Fordist
1983,5238209.534236204,12566898.881009562,0.62949324210345,0.8342452950527743,3.9055784430699274e-4,3.257574346380596e-4,7660633.148903781,0.6837828456758538,0.9593612792895436,Post-Fordist
1984,5667134.755515862,12914438.126604158,0.623632973944295,0.9095550151392597,0.027655131857532454,0.02481232964578015,7853089.07005203,0.7216440186738281,1.086836869034961,Post-Fordist
1985,5846606.611183252,13264044.136178238,0.628950706261489,0.8412173689042319,0.02707094231640479,0.022469762013017185,8031543.518757327,0.7279555414882273,1.0299776277473436,Post-Fordist
1986,5962860.521822986,13675906.15711716,0.640257827171573,0.6959106888008328,0.03105101405803911,0.021280033033515774,8204286.499623886,0.7267981831322377,0.9039832340205545,Post-Fordist
1987,6236467.87473181,14147994.908234227,0.637971431188591,0.7252929349385369,0.03451974192374703,0.024614485054473674,8408736.682573704,0.7416652596169753,0.9459826717103541,Post-Fordist
1988,6553020.153868527,14628817.54074278,0.635130978444682,0.7617953091052367,0.03398521385024741,0.025459561869690225,8625567.936571307,0.7597204267657041,0.99854599645817,Post-Fordist
1989,6626769.459704365,14998274.39422528,0.640624353315478,0.6912004979781248,0.025255414694559268,0.01723976150598044,8775559.868318016,0.7551392229262401,0.938747378605108,Post-Fordist
1990,6684763.566579546,15361611.627195844,0.644643570706082,0.6395499372132107,0.024225269082319086,0.015308581803115008,8910934.799756836,0.7501753426320616,0.8964860448890128,Post-Fordist
1991,6610464.760006524,15384487.897505105,0.640968458828616,0.6867784324393398,0.0014891842642838654,0.0010219788659438383,8920046.241855582,0.741079651469541,0.9171241081674237,Post-Fordist
1992,6753747.8386145085,15713450.939304713,0.648208483525974,0.5937375990560607,0.021382774908806447,0.012561926595656766,9032805.964851987,0.7476910126149463,0.8638449811719054,Post-Fordist
1993,6906875.293765771,16188212.58877569,0.64244868931149,0.6677561385269737,0.03021370998037333,0.019876606934181893,9214143.717951968,0.7495949168134927,0.9132863312935824,Post-Fordist
1994,7301344.779147093,16828300.87314719,0.628488369808008,0.8471588084342692,0.039540392792673885,0.032851704972357336,9521871.05749959,0.7667972749322653,1.05693822822238,Post-Fordist
1995,7572797.711468651,17536368.61664435,0.624660582765844,0.8963493169344154,0.04207600926763904,0.03694293511542555,9880215.312254535,0.766460797881199,1.0907471200323169,Post-Fordist
1996,7905688.345284901,18183387.370483194,0.620922242011602,0.944390360133105,0.036895823073925214,0.034216645610429856,10224133.446930567,0.7732379850400234,1.1329962995635843,Post-Fordist
1997,8337783.791231612,18977312.39333568,0.621030977666497,0.9429930091056145,0.04366210798221534,0.04029954716883468,10644576.323533976,0.7832893990151302,1.1468079494971593,Post-Fordist
1998,8720654.53483364,19837744.025430374,0.63460929410548494,0.7684994223798238,0.045340015185546124,0.034076959604005835,11013562.376255404,0.7918105184236175,1.0570941569962673,Post-Fordist
1999,9115995.0718173,20764528.203956936,0.640439844250045,0.6935716055270973,0.04671822447847395,0.03166831935903075,11367924.80329482,0.801904941276104,1.0324035981610895,Post-Fordist
2000,9504785.234674515,21805941.068273567,0.652779358011841,0.5349977481256332,0.05015345661059504,0.02618081171593772,11669476.512117758,0.8144997099745309,0.9781287866613003,Post-Fordist
2001,9226880.744970413,22573331.640775017,0.654881386402621,0.5079847914785596,0.035191811722263225,0.01756953530707505,11876315.503484664,0.7769144177976012,0.923217805575164,Post-Fordist
2002,9207660.926014699,23200479.25538691,0.638661211919941,0.7164286317380313,0.027782678454032664,0.01963282567377564,12111785.038187692,0.7602232781529334,0.9728301941712482,Post-Fordist
2003,9339167.298703996,23679297.365057766,0.626869045229268,0.867968586663201,0.020638285287131665,0.017731037160756635,12328454.76171196,0.7575294292118679,1.018769504815665,Post-Fordist
2004,9728875.948101217,25144205.771912795,0.613230053731544,1.0432419025013013,0.06186452174956478,0.06262199909670708,13125172.942432847,0.7412379243132394,1.052057401731671,Post-Fordist
2005,10112750.152189905,26690625.195005774,0.597479837743853,1.245646353137519,0.06150201907830391,0.0743462833270465,14138170.51287875,0.7152799680112779,1.0673570837741664,Post-Fordist
2006,10475689.986035613,28020465.509088833,0.587831471357126,1.3696365447367098,0.04982424744145341,0.06659551827464302,15111768.128686197,0.6932140499264238,1.0587952872148763,Post-Fordist
2007,10541836.362621455,28812095.07638435,0.593479839175833,1.2970499347352877,0.02825183496822141,0.036135957335075485,15667832.793412114,0.6728330906782464,1.0173387393599258,Post-Fordist
2008,10442765.635576563,30175595.22561887,0.595584591788177,1.270001969389316,0.04732388066954918,0.0587226376567008,16615439.966773247,0.6284976898872073,0.9474464784393131,Post-Fordist
2009,9778663.241112968,29403083.277530868,0.593114751011546,1.3017416462257243,-0.02560055376909829,-0.03375930321485179,16063876.867124578,0.608736192514363,0.9195529697733993,Post-Fordist
2010,10197448.091306675,30084989.21958352,0.57177005128177,1.5760402479831015,0.023191647475071003,0.03613357233772358,16654936.361831024,0.612277817805218,0.9482751027694015,Post-Fordist
2011,10503949.562903771,31018959.87933228,0.57077261993538,1.5888581384724256,0.031044407326588107,0.04857500985039518,17483921.03409195,0.6007776826732453,0.93127608798632,Post-Fordist
2012,10917416.79489188,31574486.17202664,0.568162965987683,1.6223945403888846,0.017909249531751815,0.028798749596333387,17994756.50391124,0.6066998901885076,0.9416391002174767,Post-Fordist
2013,11140783.336294858,32275918.869457413,0.567108862532718,1.6359407184782953,0.02221517378332522,0.0359449082519781,18653341.86244259,0.5972540158461456,0.9272262599793498,Post-Fordist
2014,11514617.170242997,33249832.43187986,0.568582031539934,1.6170091708834624,0.030174619237380036,0.048070967874014,19571927.83463382,0.5883230955852555,0.9133999191536064,Post-Fordist
2015,11886415.463438693,33576999.639394976,0.575109869197914,1.5331205819245275,0.009839664852007785,0.015011658385786667,19867951.27154337,0.5982708182128202,0.9313386284705492,Post-Fordist
2016,11932888.300119095,34270144.49174247,0.582943530383766,1.4324509853912621,0.020643442231039765,0.029269635007509433,20458073.149852384,0.5832850539106219,0.9118354038268693,Post-Fordist
2017,12256133.051719999,35066114.692431815,0.586156566953376,1.3911605737388602,0.02322634504447852,0.03194204652908472,21122094.517873842,0.5802517852265394,0.9094260060005238,Post-Fordist
2018,12676091.543850388,35863601.676888645,0.584943959084541,1.4067436762004721,0.022742382252829062,0.03163433059362159,21800958.936975427,0.5814465125362516,0.9100900235775831,Post-Fordist
2019,13027619.22634378,36921325.757170826,0.587441985101222,1.3746417936627058,0.029492968659748528,0.03995591242911457,22689672.594729528,0.5741651481286646,0.9018039433450817,Post-Fordist
2020,12496333.899579605,37349669.4394324,0.60484793205077,1.1509597100087596,0.011601524958197872,0.01327602478525461,22992909.6881975,0.5434864081597338,0.8801251815653643,Post-Fordist
2021,13742740.691848328,39656275.964686066,0.579714486970795,1.4739470993870114,0.06175708004575908,0.08832651350496615,25116183.704865713,0.5471667532510511,0.8446582923945146,Post-Fordist
2022,14289021.149979241,41220094.349135354,0.56475673366441,1.6661676913520331,0.039434322724651936,0.06444177583873473,26788004.21301667,0.5334111879464317,0.7911256181138611,Post-Fordist
2023,14514925.996012745,41158791.436694905,0.565941031361275,1.6509484000793906,-0.001487209415903118,-0.002457133595098805,26722263.308088213,0.5431772686567089,0.8086423437019664,Post-Fordist
2024,14849197,41512608.2513652,0.56912875490843,1.6099832835472574,0.008596384935512246,0.013780887639677572,27093068.9633722,0.5480810247106004,0.8241851639188881,Post-Fordist
