year,y,k,k_NR,k_ME,pi,s_ME,phi_ME,log_phi_ME,pi_kME,pi_kNR,K_NR,K_ME,K_total,GDP_real,omega,exploitation_rate,FBKF_ME,FBKF_NR,M_CIF,I_total
1990,17.040067286980953,18.77217993415538,18.501884063925814,17.331836204245274,0.5343347610299984,0.23684633351986248,0.31035208755827537,-1.1700478596805406,9.261002556406474,9.886199799902537,108459139.3243588,33660520.30408859,142119659.6284474,25142426.7771056,0.4656652389700015,1.147465424329044,1071255.4363246767,3331604.0,4258525.587478859,4458710.559324629
1991,17.116396175818338,18.82101770494992,18.54947348841811,17.384685762546802,0.5658169728376202,0.23779841918750638,0.3119888821721118,-1.1647877258713073,9.836550271897506,10.495606936948425,113745435.60241996,35487311.30577893,149232746.9081989,27136660.99337492,0.4341830271623798,1.303176166363617,1127652.487463195,3267388.0,4620407.817017572,4450792.425585477
1992,17.23120802859673,18.888775292701254,18.611542891180097,17.470460321981278,0.5849963571743965,0.24212165543788713,0.31947298293340237,-1.1410825691988193,10.220155646518881,10.887684792735392,121029259.83909962,38665578.663018994,159694838.50211862,30438171.75663508,0.4150036428256035,1.4096174028530848,1502416.8231748631,3948551.0,5809923.947927688,5520114.403655992
1993,17.29857322468766,18.968480275833837,18.683436768376225,17.574228188621266,0.5938971203968522,0.24801846319717985,0.32981988394512096,-1.1092085797549576,10.437283514419358,11.09603929585531,130050938.77156174,42893385.53259052,172944324.30415225,32559287.77696921,0.4061028796031479,1.4624302122093316,1744746.4097156953,4684998.0,6542940.092929677,6511306.960389595
1994,17.354053034139593,19.047772378650837,18.754970333862648,17.676682504127374,0.5933719585937003,0.25383016571402434,0.3401774690569196,-1.0782878297352754,10.488847718913055,11.128673480370825,139694762.69424844,47521010.813836426,187215773.50808486,34416719.42753583,0.4066280414062997,1.459249973370153,1994362.35008702,4833130.0,6894319.908071816,6914100.410267169
1995,17.453848714851386,19.15820486431347,18.842994432178322,17.85022130190422,0.6133329904088325,0.2703646806049566,0.37054768789033116,-0.992773130274102,10.948129610556359,11.55703012334491,152548697.6940451,56526567.2212095,209075264.9152546,38028586.63929618,0.3866670095911675,1.5862046029148555,2829308.9758565985,5602626.0,8540633.128295971,8538895.700875174
1996,17.524966669638847,19.26812827206205,18.933375254169146,18.01105428086701,0.5975119342056915,0.2844852161199234,0.39759516159431907,-0.9223209733021339,10.761819880444548,11.312917669160782,166978438.98458356,66389819.430842645,233368258.4154262,40831592.66004995,0.4024880657943085,1.4845457169680405,2989790.9878385263,6194167.0,10197693.090250194,9300458.270126289
1997,17.588881477612897,19.380327558577562,19.02635887166287,18.170011526552937,0.6027425612507189,0.2981030544297742,0.42471057369767184,-0.8563473451099375,10.951839285469601,11.467996277581417,183249445.29059896,77827977.03915042,261077422.32974938,43526542.29192956,0.3972574387492811,1.5172593448429406,3516812.865172704,6635812.0,11397788.273816165,10281412.874037797
1998,17.620935307289084,19.477655251740075,19.113906158208177,18.289996744898666,0.5949041669095316,0.30493443068676207,0.4387131864236256,-0.8239094133095103,10.880795276301987,11.370942419435801,200015647.3512404,87749501.98404689,287765149.3352873,44944336.13576658,0.4050958330904683,1.4685516816379451,3543564.453056849,6799409.0,12225043.219600355,10474176.07055266
1999,17.61361081113189,19.516757762040992,19.154832162967107,18.32493032384679,0.5748970037831507,0.3036658261780414,0.4360920914039239,-0.8299018391203171,10.53494753771452,11.012055618458918,208371304.27957848,90869077.87184478,299240382.1514233,44616344.172736935,0.4251029962168492,1.352371093357079,2563917.201206702,5892807.0,10413592.612986038,8563999.382340476
2000,17.6572225677643,19.571700568453004,19.206619845012987,18.38707075901761,0.5738349089139111,0.305859384802001,0.4406302960888647,-0.8195490859953786,10.551143074194508,11.021428949307145,219446679.94729537,96694855.56089509,316141535.50819045,46605194.72946803,0.4261650910860889,1.346508479733718,3194392.9354198454,6011184.0,11856463.85893036,9322351.45823651
2001,17.690156065165045,19.623838373049313,19.25811429903789,18.440667098720823,0.5816453917887638,0.30630581694184233,0.4415574246153977,-0.817447200317068,10.72592903948164,11.201393436576687,231042977.0548696,102018741.92382264,333061718.97869223,48165620.898592375,0.4183546082112362,1.390316684392965,3322946.7528623226,6280820.0,12055544.158664051,9725592.390481297
2002,17.711593717770285,19.675196350826308,19.308373281372834,18.4945095277179,0.5731009816139192,0.3070677649218296,0.443142560523525,-0.8138637536549378,10.59922156480311,11.06564768092274,242951715.85419697,107662245.44721273,350613961.3014097,49209326.070127815,0.4268990183860807,1.3424743485720918,3339033.4730295297,6412994.0,12173510.840045176,9875733.826541862
2003,17.75039846302527,19.730707514291744,19.36295132236704,18.552123190891297,0.5740448627137111,0.30771405398110524,0.4444898177561829,-0.8108281314757416,10.649751010163051,11.115202733580459,256580066.09028825,114047226.8163416,370627292.90662986,51156415.26,0.4259551372862888,1.3476650765873723,3516258.421999999,6790743.0,13362126.704544002,10437747.727328643
2004,17.809054906822023,19.80604084630972,19.430696942589158,18.644319548380075,0.598176405006098,0.31294704191099426,0.4554918776296904,-0.7863773942090803,11.15259204123491,11.622984443880963,274564549.0370752,125061921.9714466,399626471.0085218,54246818.68,0.401823594993902,1.4886542563912302,4319248.639,7019324.0,16017890.58681149,11482404.62461372
2005,17.86315904587946,19.929771896727456,19.535604858082937,18.808173165067995,0.6112529998404572,0.32575857753967613,0.48314827106138775,-0.7274316930149438,11.4965522686666,11.941197073201005,304933676.8830528,147328178.77443883,452261855.6574917,57262644.8,0.3887470001595428,1.5723671168898985,6274944.301999999,7769619.0,19475394.057501387,14222721.30222801
2006,17.90803632017195,20.03706754000026,19.62894267102999,18.94375364369241,0.6348247933975004,0.3351041512213994,0.5039949517461698,-0.6851890273375799,12.02596449303018,12.460939475747994,334766111.4012177,168720430.1619096,503486541.5631273,59890971.18,0.3651752066024995,1.73841154032267,6371339.289000001,8002756.0,21772956.54303004,14556433.466179948
2007,17.953012417762558,20.146070619710713,19.72425582479261,19.079376979906726,0.6440817656542552,0.3441445040832542,0.5247261115075567,-0.6448788448858817,12.288678812801477,12.704033517848654,368243817.6814666,193227146.5386936,561470964.2201602,62646127.0,0.3559182343457447,1.8096340774397743,7446780.999999999,8540861.0,25534647.335270766,16190448.329099298
