"year","CORP_CFC","CORP_COMP","CORP_COMPENSATION_SHARE_GVA","CORP_COMPENSATION_SHARE_NVA","CORP_DIVIDENDS_NET","CORP_GVA","CORP_NET_INT","CORP_NOS","CORP_NVA","CORP_PAT","CORP_PBT","CORP_TAX","CORP_TRANSFERS_NET","CORP_UNDISTRIBUTED","I_current_ME","I_current_NRC","I_real_ME_guardian","I_real_NRC_guardian","K_current_capacity_refrozen","K_current_ME_refrozen","K_current_NRC_refrozen","K_real_capacity_refrozen","K_real_ME_refrozen","K_real_NRC_refrozen","NFC_CFC","NFC_COMP","NFC_COMPENSATION_SHARE_GVA","NFC_COMPENSATION_SHARE_NVA","NFC_DIVIDENDS_NET","NFC_GVA","NFC_NET_INT","NFC_NOS","NFC_NVA","NFC_PAT","NFC_PBT","NFC_RETAINED","NFC_TAX","NFC_TRANSFERS_NET","NFC_UNDISTRIBUTED","P_Y_NFC_GVA_IMPLICIT_SOURCE","pKN_capacity","pKN_ME","pKN_NRC","Y_REAL_NFC_GVA_BASELINE","Y_NFC_real","NFC_GVA_nominal","NFC_NVA_nominal","NFC_GOS","NFC_TAX_PROD_IMPORTS_NET_SUBSIDIES","NFC_NET_INTEREST","NFC_CURRENT_TRANSFERS_NET","NFC_RETAINED_EARNINGS_OR_NET_SAVING_IF_AVAILABLE","Y_CORP_GVA_raw_nominal","Y_CORP_NVA_raw_nominal","CORP_GVA_nominal_raw","CORP_NVA_nominal_raw","CORP_GOS_raw","CORP_NOS_raw","CORP_TAX_PROD_IMPORTS_NET_SUBSIDIES","CORP_NET_INTEREST","CORP_CURRENT_TRANSFERS_NET","CORP_PROFITS_BEFORE_TAX","CORP_TAXES_ON_CORPORATE_INCOME_OR_PROFITS","CORP_PROFITS_AFTER_TAX","CORP_UNDISTRIBUTED_PROFITS_OR_RETAINED_EARNINGS","omega_NFC_GVA","omega_NFC_NVA","omega_CORP_raw_GVA","omega_CORP_raw_NVA","NFC_GOS_share_GVA","NFC_NOS_share_GVA","NFC_NOS_share_NVA","CORP_GOS_raw_share_GVA","CORP_NOS_raw_share_GVA","CORP_NOS_raw_share_NVA","CORP_PBT_share_GVA","CORP_profit_share_GVA","ln_Y_NFC","ln_K_ME","ln_K_NRC","ln_K_capacity","c_ME_NRC","ME_share_capacity","NRC_share_capacity","d_ln_Y_NFC","d_ln_K_ME","d_ln_K_NRC","d_ln_K_capacity","d_c_ME_NRC","omega_NFC","d_omega_NFC","omega_c_NFC","d_omega_c_NFC","omega_c_CORP_raw","s_ME_lag","s_NRC_lag","growth_contribution_ME","growth_contribution_NRC","growth_contribution_capacity_sum","growth_weight_guard_status","w_growth_ME_capacity","w_growth_NRC_capacity"
"1948","11488","91111","0.623778780389284","0.677027679732491","6367","146063","7","30715","134575","20812","32493","12254","577","11511","320","219","25.0914464532776","39483.1308877394","4193.97134931765","1728.4699796307","2465.50136968695","444636.504558433","135.530662312505","444500.973896121","11120","87467","0.624581372598025","0.678454247174626","5877","140041","857","29076","128921","22987","35241","16620","11681","605","10056","18.4615242645236","0.943235948088128","1275.33500548032","0.554667259348487","758556","758556","140041","128921","40893","11681","857","605","16620","146063","134575","146063","134575","42698","30715","12254","7","577","32493","12254","20812","11511","0.624581372598025","0.678454247174626","0.623778780389284","0.677027679732491","0.292007340707364","0.20762490984783","0.225533466231258","0.292325914160328","0.210285972491322","0.228237042541334","0.222458802023784","0.142486461321485","13.5391719049729","4.90919790484919","13.0047075249261","13.0050123836609","-8.0955096200769","0.000304812270074631","0.999695187729926","0.0747746427674674","0.157601916540943","0.0727624862948577","0.0727872800988614","0.0848394302460846","0.624581372598025","-0.0199023481799739","-5.05630451038814","0.215797282826781","-5.04980711744128","0.000280025716252421","0.999719974283748","4.41325895621318E-05","0.0727421109275167","0.0727862435170789","OK","0.000606331463606532","0.999393668536393"
"1949","12412","88798","0.620869516577869","0.67987137278922","6599","143022","-47","28441","130610","16354","25616","10010","555","11324","359","196","31.1718754031805","38631.9307053002","4256.3404659887","1850.44187131721","2405.8985946715","474367.345795034","160.673380093393","474206.67241494","12008","84902","0.622946489496739","0.683134459258306","6040","136291","999","26426","124283","18907","28917","12308","9262","588","9538","18.1324353881236","0.897266749855037","1151.67918309904","0.507352328557344","751642","751642","136291","124283","42127","9262","999","588","12308","143022","130610","143022","130610","44214","28441","10010","-47","555","25616","10010","16354","11324","0.622946489496739","0.683134459258306","0.620869516577869","0.67987137278922","0.309095978457859","0.193893947509373","0.212627632097712","0.30914125099635","0.198857518423739","0.217755148916622","0.17910531246941","0.114346044664457","13.5300154257478","5.07937360932318","13.0693985234021","13.0697372916554","-7.99002491407895","0.000338710877798948","0.9996612891222","-0.00915647922509066","0.170175704473984","0.0646909984760384","0.0647249079945471","0.105484705997947","0.622946489496739","-0.00163488310128623","-4.97735797121696","0.0789465391711808","-4.96076290584933","0.000304812270074631","0.999695187729926","5.18716427922647E-05","0.0646712798659396","0.0647231515087319","OK","0.000801438767784147","0.999198561232216"
"1950","13288","98654","0.608547071813662","0.662881485761896","8051","162114","-133","35351","148826","22438","39202","17728","694","9011","411","202","37.2989251714062","34782.913788204","5005.66079171459","2105.47867182175","2900.18211989285","499581.09864985","191.075648248835","499390.023001601","12848","94387","0.609475288313768","0.664612936388345","7375","154866","932","33268","142018","24784","42512","16733","16764","601","7596","18.2423645598726","1.0019716128658","1101.90842795405","0.580744906047822","848936","848936","154866","142018","43715","16764","932","601","16733","162114","148826","162114","148826","45732","35351","17728","-133","694","39202","17728","22438","9011","0.609475288313768","0.664612936388345","0.608547071813662","0.662881485761896","0.282276290470471","0.214817971665827","0.234251996225831","0.282097783041563","0.218062597924917","0.237532420410412","0.241817486460145","0.138408774072566","13.6517390796488","5.25266941376396","13.1211426786579","13.1215252235512","-7.86847326489392","0.000382471732347819","0.999617528267652","0.121723653900933","0.173295804440783","0.0517441552557525","0.0517879318957828","0.12155164918503","0.609475288313768","-0.0134712011829705","-4.7956400117104","0.181717959506565","-4.78833636499528","0.000338710877798948","0.9996612891222","5.86971740410124E-05","0.0517266289475048","0.0517853261215458","OK","0.00113347116716507","0.998866528832835"
"1951","15136","114553","0.61656915566416","0.671254870938443","7663","185791","-222","40249","170655","18805","39909","22304","1017","9487","429","339","40.2808212175669","48054.5100595037","6168.49488603457","2379.11174970743","3789.38313632714","537382.530628227","223.385955819529","537159.144672408","14636","109808","0.618138626346099","0.673639782340636","7042","177643","1096","37834","163007","21332","43636","13669","21104","727","7865","19.8195253167735","1.14787782156284","1065.02297379406","0.705448873748233","896303","896303","177643","163007","46731","21104","1096","727","13669","185791","170655","185791","170655","48934","40249","22304","-222","1017","39909","22304","18805","9487","0.618138626346099","0.673639782340636","0.61656915566416","0.671254870938443","0.263061308354396","0.212977713729221","0.232100461943352","0.263381972216092","0.216635897325489","0.235850106940904","0.214805884030981","0.10121588236244","13.7060338044335","5.40890101903466","13.1940496883795","13.1944654674305","-7.7851486693448","0.000415692626923282","0.999584307373078","0.0542947247846985","0.156231605270702","0.0729070097215807","0.0729402438793176","0.0833245955491213","0.618138626346099","0.00866333803233055","-4.81230110436895","-0.0166610926585538","-4.80008254177788","0.000382471732347819","0.999617528267652","5.97541727153661E-05","0.0728791248512722","0.0729388790239875","OK","0.000819236236078082","0.999180763763922"
"1952","16116","123015","0.630758818009814","0.687576504519007","7753","195027","-249","38565","178911","17301","34978","19107","1038","10917","417","325","42.0548236925145","42626.1275732295","6876.76922028701","2540.30465777573","4336.46456251128","569015.243257818","256.192001218301","568759.0512566","15580","117770","0.63357057934292","0.691532151518176","7053","185883","1258","35736","170303","20287","39394","12534","17677","824","8924","19.9797711843638","1.20853866425705","991.56283010223","0.762443173946933","930356","930356","185883","170303","50436","17677","1258","824","12534","195027","178911","195027","178911","52905","38565","19107","-249","1038","34978","19107","17301","10917","0.63357057934292","0.691532151518176","0.630758818009814","0.687576504519007","0.271331966882394","0.192249963686835","0.209837759757608","0.271270131827901","0.197741851128305","0.21555410231903","0.179349525963072","0.0887107938900768","13.7433225875808","5.54592716812553","13.251212163418","13.2516625023064","-7.70528499529246","0.000450237501110707","0.99954976249889","0.0372887831473232","0.137026149090866","0.0571624750385205","0.0571970348759141","0.079863674052346","0.63357057934292","0.0154319529968214","-4.88184187846975","-0.0695407741007967","-4.86017645605942","0.000415692626923282","0.999584307373078","5.69607598727636E-05","0.0571387130191103","0.0571956737789831","OK","0.000995892802887029","0.999004107197113"
"1953","17300","133985","0.640512658711947","0.698260407329428","8094","209184","-45","39431","191884","18135","36504","19944","981","10458","539","434","59.4621695165526","55632.0706338106","7543.19567969241","2764.23971614589","4778.95596354652","612893.00398731","304.949333183403","612588.054654126","16728","128198","0.644071883964771","0.703167594547898","7243","199043","1334","36232","182315","21407","41351","13313","18369","959","8327","19.9195384469119","1.23075245281289","906.458685214904","0.780125555377467","999235","999235","199043","182315","52476","18369","1334","959","13313","209184","191884","209184","191884","55255","39431","19944","-45","981","36504","19944","18135","10458","0.644071883964771","0.703167594547898","0.640512658711947","0.698260407329428","0.263641524695669","0.182031018423155","0.198732962180841","0.264145441333945","0.188499120391617","0.205493944257989","0.174506654428637","0.0866940110142267","13.8147452652025","5.72014564209768","13.3254479737688","13.3259456548016","-7.60530233167108","0.000497557210148408","0.999502442789851","0.0714226776216744","0.174218473972154","0.0742358103507801","0.0742831524951466","0.0999826636213736","0.644071883964771","0.0105013046218514","-4.89836140088106","-0.016519522411313","-4.87129241676682","0.000450237501110707","0.99954976249889","7.84396903685432E-05","0.0742023866050349","0.0742808262954034","OK","0.00105598839270582","0.998944011607294"
"1954","18340","132212","0.639122132791917","0.701296910224108","8136","206865","160","38376","188525","18189","33717","17348","719","12014","513","482","64.4216941082273","61232.790373915","8046.66243369382","2842.15604525664","5204.50638843718","661532.118005955","356.913269698581","661175.204736257","17724","125945","0.642039314043351","0.705811477247254","7357","196164","1650","35178","178440","21483","38831","13347","15528","851","9791","19.8287660847679","1.21636761310225","796.315600049526","0.787159946585303","989290","989290","196164","178440","54691","15528","1650","851","13347","206865","188525","206865","188525","57305","38376","17348","160","719","33717","17348","18189","12014","0.642039314043351","0.705811477247254","0.639122132791917","0.701296910224108","0.278802430619278","0.179329540588487","0.197141896435777","0.277016411669446","0.18551229062432","0.203559209653892","0.162990356029294","0.0879269088536002","13.8047427931029","5.87749281024366","13.401774143827","13.4023138146555","-7.5242813335833","0.00053952523238693","0.999460474767614","-0.0100024720995133","0.15734716814598","0.0763261700581968","0.0763681598538799","0.0810209980877836","0.642039314043351","-0.00203256992141998","-4.83088442608301","0.0674769747980486","-4.80893473364617","0.000497557210148408","0.999502442789851","7.82892180074664E-05","0.0762881934219612","0.0763664826399687","OK","0.00102517773899006","0.99897482226101"
"1955","19560","144625","0.620572321079935","0.677429025111129","9151","233051","140","49048","213491","23638","43753","21789","1095","16874","619","654","83.8854229702349","74450.475106343","9488.13690977303","3145.36180647511","6342.77510329792","722479.187706018","426.252028320819","722052.935677697","18912","137886","0.622858846487424","0.681039592223803","8415","221376","1700","45418","202464","27298","49087","18147","20115","979","14209","19.9833183487332","1.31327477264768","737.911281939462","0.878436301535812","1107804","1107804","221376","202464","63375","20115","1700","979","18147","233051","213491","233051","213491","66637","49048","21789","140","1095","43753","21789","23638","16874","0.622858846487424","0.681039592223803","0.620572321079935","0.677429025111129","0.2862776452732","0.205162257877999","0.224326299984195","0.285933121934684","0.21046037133503","0.229742705781508","0.187740022570167","0.101428442701383","13.9178902353347","6.05503078711032","13.4898537333005","13.4904438926106","-7.43482294619015","0.000589985200368518","0.999410014799631","0.113147442231744","0.177537976866656","0.0880795894735122","0.0881300779551388","0.0894583873931438","0.622858846487424","-0.0191804675559274","-4.63084524410223","0.200039181980783","-4.61384533253559","0.00053952523238693","0.999460474767614","9.57862182264881E-05","0.0880320683125331","0.0881278545307596","OK","0.00108690060295358","0.998913099397046"
"1956","22088","158175","0.632565896030042","0.693856513061216","9869","250053","18","48272","227965","24206","44125","21591","1428","15365","611","795","84.716470320987","78343.6207846747","11535.9232999305","3562.11676179703","7973.80653813348","786276.128688214","493.895186465906","785782.233501748","21356","150770","0.635535528362412","0.698406963224429","9007","237233","1832","44304","215877","28213","49804","18344","19919","1035","12511","20.6999844684456","1.46715929417525","721.229293058301","1.01476034939084","1146054","1146054","237233","215877","66544","19919","1832","1035","18344","250053","227965","250053","227965","70287","48272","21591","18","1428","44125","21591","24206","15365","0.635535528362412","0.698406963224429","0.632565896030042","0.693856513061216","0.280500604890551","0.18675310770424","0.205227977042483","0.281088409257237","0.193047074020308","0.211751804005001","0.176462589930935","0.0968034776627355","13.9518352955655","6.20232332153008","13.5744349764105","13.5750633184805","-7.37211165488044","0.000628144704443587","0.999371855295556","0.0339450602308506","0.147292534419757","0.0845812431100423","0.0846194258699011","0.0627112913097143","0.635535528362412","0.0126766818749876","-4.68523887573113","-0.0543936316289022","-4.66334641460296","0.000589985200368518","0.999410014799631","8.69004154324269E-05","0.0845313414283786","0.084618241843811","OK","0.00102697023170049","0.998973029768299"
"1957","24564","166500","0.636319512651866","0.702244229155156","10399","261661","164","47789","237097","23120","42101","20880","1577","14769","670","739","99.1373552280001","67871.0091419514","12995.7962186645","3872.66437972327","9123.13183894119","838456.872483904","573.023439240968","837883.849044663","23756","158411","0.638957571161781","0.706671425066357","9226","247921","2262","43705","224165","27222","48102","16823","18981","1098","12138","21.3441270311362","1.54996597262836","675.83001226844","1.08883013431315","1161542","1161542","247921","224165","70529","18981","2262","1098","16823","261661","237097","261661","237097","74281","47789","20880","164","1577","42101","20880","23120","14769","0.638957571161781","0.706671425066357","0.636319512651866","0.702244229155156","0.284481750234954","0.176285994328839","0.194967992327081","0.283882580896656","0.182637076216937","0.201558855658233","0.160899025838776","0.0883586013964634","13.9652589906766","6.3509266220578","13.638634764899","13.6393184247949","-7.28770814284122","0.000683426253688401","0.999316573746312","0.0134236951110545","0.148603300527728","0.0641997884885122","0.0642551063143983","0.0844035120392155","0.638957571161781","0.00342204279936975","-4.65653629428577","0.0287025814453683","-4.63731089380177","0.000628144704443587","0.999371855295556","9.3344376289331E-05","0.0641594617313467","0.064252806107636","OK","0.00145276731000606","0.998547232689994"
"1958","26396","163977","0.638462646643123","0.711597630568273","10356","256831","555","43321","230435","19991","36055","18440","1432","12538","646","711","105.11600723634","61905.7084059387","14163.2495352423","4023.94285474408","10139.3066804982","883469.06272263","654.769049903866","882814.293672726","25496","155209","0.640702916019947","0.716067210452499","9115","242248","2846","39237","216752","24067","42507","13711","16064","1173","10038","21.6770914427353","1.60314040783666","614.559111389715","1.14852090107379","1117530","1117530","242248","216752","70975","16064","2846","1173","13711","256831","230435","256831","230435","74414","43321","18440","555","1432","36055","18440","19991","12538","0.640702916019947","0.716067210452499","0.638462646643123","0.711597630568273","0.292984875004128","0.161970377464417","0.181022551118329","0.289739167000868","0.168675120993961","0.187996615097533","0.14038414365867","0.0778371769762996","13.9266314507471","6.4842825778922","13.6908701445258","13.6916115534028","-7.20658756663361","0.000741134101386677","0.999258865898613","-0.0386275399294842","0.133355955834397","0.0522353796267794","0.052293128607948","0.0811205762076179","0.640702916019947","0.00174534485816513","-4.61728166849524","0.0392546257905231","-4.60113697105832","0.000683426253688401","0.999316573746312","9.1138961302938E-05","0.0521996805969711","0.052290819558274","OK","0.00174292470595858","0.998257075294041"
"1959","27620","180289","0.627209980309345","0.693883599023962","11619","287446","-193","53984","259826","24946","45628","22816","1381","18361","753","724","136.04112547565","59123.478481117","15538.6970677344","4226.90102545113","11311.7960422833","924510.519696713","763.655209530614","923746.864487183","26688","170794","0.628716570650273","0.697212277572081","9816","271655","3018","49776","244967","30420","53236","18801","20682","1255","15005","21.8490389093135","1.68074854062579","553.50909320048","1.22455582553593","1243327","1243327","271655","244967","80179","20682","3018","1255","18801","287446","259826","287446","259826","84341","53984","22816","-193","1381","45628","22816","24946","18361","0.628716570650273","0.697212277572081","0.627209980309345","0.693883599023962","0.295150098470486","0.18323240875375","0.203194716022975","0.293415111012155","0.18780570959415","0.207769815184008","0.158735901699798","0.0867849961384051","14.0333014091051","6.63811639087574","13.7361933569083","13.7370197085404","-7.09807696603253","0.000826010297623365","0.999173989702377","0.106669958358028","0.15383381298354","0.0453232123824598","0.0454081551375296","0.10851060060108","0.628716570650273","-0.0119863453696732","-4.46267860829567","0.154603060199576","-4.45198471409948","0.000741134101386677","0.999258865898613","0.000114011484748442","0.0452896218041788","0.0454036332889272","OK","0.00251106522737788","0.997488934772622"
"1960","28488","190689","0.635886474211265","0.70263568062316","12307","299879","-187","52858","271391","23141","42283","21885","1502","17351","765","856","153.789151574896","65432.8711586873","17093.472514352","4406.7724752065","12686.7000391455","970660.67736702","885.900392347203","969774.776974673","27560","180409","0.638652100649948","0.707697196027051","10455","282484","3313","47915","254924","28831","50716","16524","19142","1266","13738","21.9750162974396","1.76101421567","497.434306754364","1.30821097231701","1285478","1285478","282484","254924","82933","19142","3313","1266","16524","299879","271391","299879","271391","87305","52858","21885","-187","1502","42283","21885","23141","17351","0.638652100649948","0.707697196027051","0.635886474211265","0.70263568062316","0.293584769402869","0.169620226278302","0.187957979633146","0.291134090749936","0.176264426652083","0.1947669598476","0.141000203415378","0.0771677910090403","14.0666411915782","6.78660452029768","13.7848191348337","13.7857322293166","-6.99821461453602","0.000912677738991411","0.999087322261009","0.0333397824730621","0.148488129421934","0.0486257779254267","0.0487125207762276","0.0998623514965074","0.638652100649948","0.00993552999967495","-4.4694244643726","-0.00674585607692979","-4.45007001701106","0.000826010297623365","0.999173989702377","0.000122652723977348","0.0485856125321303","0.0487082652561077","OK","0.00251810905874889","0.997481890941251"
"1961","29524","195554","0.633416361922592","0.700395766551459","12193","308729","432","54711","279205","22841","42260","22203","1650","18233","709","917","157.488444892394","64781.4089911171","18884.482590859","4532.22330331149","14352.2592875475","1014921.21249067","1006.73173475824","1013914.48075591","28564","184516","0.635335355670866","0.704638755971725","10576","290423","3818","49723","261859","28385","50588","16192","19419","1421","14489","22.064609846692","1.86068458895597","450.191758820423","1.41552956979639","1316239","1316239","290423","261859","86488","19419","3818","1421","16192","308729","279205","308729","279205","90972","54711","22203","432","1650","42260","22203","22841","18233","0.635335355670866","0.704638755971725","0.633416361922592","0.700395766551459","0.297800105363556","0.171208891857739","0.189884632569436","0.294666195919399","0.177213672832808","0.195952794541645","0.136883804242556","0.0739839794771466","14.0902889853204","6.91446445678897","13.8293291210716","13.8303215442833","-6.91486466428258","0.000991930922684794","0.999008069077313","0.02364779374218","0.127859936491297","0.0445099862378591","0.0445893149666876","0.0833499502534378","0.635335355670866","-0.00331674497908196","-4.39325800089788","0.076166463474717","-4.37998841883696","0.000912677738991411","0.999087322261009","0.000116694917744462","0.044469362964257","0.0445860578820014","OK","0.00261729615238242","0.997382703847618"
"1962","30836","210997","0.628060723321923","0.69153496725814","13155","335950","760","62883","305114","26246","46837","23296","1852","23820","869","971","213.628782832329","65067.7307931061","20566.525104204","4791.77876344669","15774.7463407574","1058260.31280266","1177.97682950164","1057082.33597316","29824","199256","0.628948763920103","0.694310484208179","11590","316808","4470","57859","286984","32136","55432","18981","20591","1579","19629","22.1887904613023","1.94342779894452","406.780391892253","1.49229116824046","1427784","1427784","316808","286984","96961","20591","4470","1579","18981","335950","305114","335950","305114","101657","62883","23296","760","1852","46837","23296","26246","23820","0.628948763920103","0.694310484208179","0.628060723321923","0.69153496725814","0.306056033938537","0.182631120426252","0.201610542748028","0.302595624348861","0.187179639827355","0.206096737612827","0.139416579848192","0.0781247209406162","14.1716341499364","7.07155369466464","13.8710231577251","13.8721369034835","-6.7994694630605","0.00111312577373513","0.998886874226266","0.0813451646160637","0.157089237875669","0.041694036653583","0.0418153592001964","0.115395201222086","0.628948763920103","-0.00638659175076328","-4.27651791410439","0.116740086793494","-4.2704797091751","0.000991930922684794","0.999008069077313","0.000155821672669863","0.0416526790493346","0.0418085007220045","OK","0.00372703325828308","0.996272966741717"
"1963","32416","222667","0.623085274875336","0.68524308654361","14442","357362","396","69109","324946","29285","52039","25491","2286","26494","812","986","219.936579058421","63495.5209505939","22021.1443668659","4979.89897064857","17041.2453962174","1098755.28905813","1348.8447582032","1097406.44429993","31340","210106","0.621930029689577","0.685525418530518","12444","337829","4828","64716","306489","34844","60335","20402","22754","1595","23095","22.2879837967468","2.00419006726627","369.197340195198","1.55286543875624","1515745","1515745","337829","306489","104969","22754","4828","1595","20402","357362","324946","357362","324946","109204","69109","25491","396","2286","52039","25491","29285","26494","0.621930029689577","0.685525418530518","0.623085274875336","0.68524308654361","0.310716368340196","0.191564371323954","0.211152765678377","0.305583693845456","0.193386538020271","0.2126784142596","0.145619847661475","0.0819477168809219","14.2314176252315","7.20700377041826","13.9084601759243","13.9096885416747","-6.70145640550606","0.00122761161801501","0.998772388381988","0.059783475295081","0.135450075753616","0.0374370181991779","0.0375516381912337","0.0980130575544385","0.621930029689577","-0.00701873423052635","-4.16783698123979","0.108680932864599","-4.17557880648983","0.00111312577373513","0.998886874226266","0.000150772970375726","0.0373953460893286","0.0375461190597044","OK","0.0040156739005694","0.995984326099431"
"1964","34412","239180","0.619666202050873","0.680319708735103","16573","385982","817","76802","351570","34334","58222","26573","2747","30093","1188","1147","359.269434033614","69858.300489832","24224.5216774157","5460.63432863333","18763.8873487824","1144470.28178581","1651.37963359648","1142818.90215222","33252","225657","0.619047357779893","0.681185494655433","13996","364523","5299","71736","331271","40404","66977","23831","23888","1871","26682","22.4730509942696","2.11665799129499","330.671047258879","1.64189508184063","1622045","1622045","364523","331271","114978","23888","5299","1871","23831","385982","351570","385982","351570","120229","76802","26573","817","2747","58222","26573","34334","30093","0.619047357779893","0.681185494655433","0.619666202050873","0.680319708735103","0.31542042614595","0.196794166623231","0.216547781121801","0.311488618640247","0.19897819069283","0.218454361862502","0.15084123093823","0.0889523345648243","14.2991982567992","7.40936635909662","13.9490084894122","13.9504524519265","-6.53964213031555","0.00144292050206817","0.998557079497938","0.0677806315676399","0.202362588678364","0.0405483134878555","0.0407639102517816","0.161814275190508","0.619047357779893","-0.0028826719096835","-4.04834818159791","0.119488799641873","-4.05239520166452","0.00122761161801501","0.998772388381988","0.000248422664913152","0.040498535907127","0.0407469585720401","OK","0.00609671675185139","0.993903283248149"
"1965","37140","259864","0.61320930583774","0.672113636304854","18171","423777","1237","88957","386637","41963","69100","29768","3138","36644","1503","1167","523.231579159893","67541.2951469035","26524.1666147591","6055.94811037757","20468.2185043815","1186726.89509759","2108.22574391432","1184618.66935368","35828","245400","0.61236559273945","0.672489059035989","16195","400741","5966","83491","364913","48636","78404","30465","27137","2102","32091","22.7916616191173","2.23506914053531","287.253304246895","1.72783183600752","1758279","1758279","400741","364913","128204","27137","5966","2102","30465","423777","386637","423777","386637","134145","88957","29768","1237","3138","69100","29768","41963","36644","0.61236559273945","0.672489059035989","0.61320930583774","0.672113636304854","0.319917353103376","0.208341547283657","0.228797000928989","0.316546202365867","0.209914648506172","0.230078859498703","0.163057457105978","0.099021419284199","14.3798460477069","7.65360199307104","13.9849314827495","13.9867095671679","-6.33132948967847","0.00177650456277975","0.998223495437224","0.0806477909077703","0.244235633974414","0.0359229933373353","0.0362571152413675","0.208312640637079","0.61236559273945","-0.00668176504044304","-3.87708833577572","0.171259845822196","-3.88243016139575","0.00144292050206817","0.998557079497938","0.000352412603597299","0.0358711593137534","0.0362235719173507","OK","0.00972881979726846","0.990271180202732"
"1966","40860","288528","0.620370250919177","0.680121632133513","19477","465090","2321","96789","424230","45625","75117","32232","2874","39885","1630","1139","627.414853614467","61823.4502733743","29365.7321206684","6900.31534231458","22465.4167783538","1222049.88341254","2656.04928858402","1219393.83412396","39392","272851","0.620003181239775","0.680956255240985","16751","440080","7184","90864","400688","53624","85856","34147","29492","2617","34820","23.3071246460874","2.40298964217937","259.79620829978","1.84234298629971","1888178","1888178","440080","400688","137737","29492","7184","2617","34147","465090","424230","465090","424230","144330","96789","32232","2321","2874","75117","32232","45625","39885","0.620003181239775","0.680956255240985","0.620370250919177","0.680121632133513","0.312981730594437","0.206471550627159","0.226769955676237","0.310327033477391","0.208108108108108","0.228152181599604","0.161510675353157","0.0980992926100325","14.4511229009046","7.88459506787294","14.0138644359595","14.0160402390037","-6.12926936808658","0.00217343770056839","0.997826562299435","0.0712768531976202","0.230993074801905","0.0289329532100133","0.0293306718358401","0.202060121591892","0.620003181239775","0.00763758850032448","-3.80016650688918","0.0769218288865345","-3.8024163758311","0.00177650456277975","0.998223495437224","0.000410360251356109","0.0288815536866211","0.0292919139379773","OK","0.0140093355533205","0.985990664446679"
"1967","45096","308418","0.627922601451223","0.691402361929357","20237","491172","4041","96269","446076","43806","71634","30992","3137","37862","1869","1176","766.581468575823","60227.597814278","32540.6663530709","8108.1345247503","24432.5318283206","1254611.9095937","3325.59961016234","1251286.30998354","43452","291064","0.628388720851657","0.693440447516195","17273","463191","8594","89364","419739","51837","82829","31600","27828","2703","32967","23.848497314675","2.59368383993812","243.809702766789","1.95259323412897","1942223","1942223","463191","419739","144299","27828","8594","2703","31600","491172","446076","491172","446076","151762","96269","30992","4041","3137","71634","30992","43806","37862","0.628388720851657","0.693440447516195","0.627922601451223","0.691402361929357","0.311532391605191","0.192931209803299","0.2129037330341","0.308979339213147","0.195998550405968","0.215813000475255","0.145843004080037","0.0891866800224769","14.479343751313","8.10940527071516","14.0396826281584","14.0423368473414","-5.93027735744323","0.00265069985764707","0.997349300142355","0.0282208504084771","0.224810202842225","0.0258181921988712","0.0262966083376845","0.198992010643353","0.628388720851657","0.00838553961188271","-3.72651940293929","0.0736471039498872","-3.72375518561303","0.00217343770056839","0.997826562299435","0.000488610970329718","0.0257620779665857","0.0262506889369154","OK","0.0186132627415581","0.981386737258442"
"1968","49992","340182","0.627513553497346","0.691259634356731","22631","542111","4266","104090","492119","45849","79383","37164","3713","36316","2338","1673","1016.15177100887","77914.8275823794","37620.5891332576","9715.18026180087","27905.4088714567","1303831.01404889","4222.45407557716","1299608.55997331","48092","320869","0.627992500156573","0.693243196529344","19038","510944","10148","96448","462852","55106","92270","32475","33534","2937","30792","24.7037999188698","2.88538842287786","230.083740116769","2.1472164566252","2068281","2068281","510944","462852","156541","33534","10148","2937","32475","542111","492119","542111","492119","164765","104090","37164","4266","3713","79383","37164","45849","36316","0.627992500156573","0.693243196529344","0.627513553497346","0.691259634356731","0.306376041209996","0.188764326423248","0.208377623948908","0.303932220523103","0.192008647675476","0.211513881805011","0.146433110562228","0.0845749302264665","14.542228385457","8.34817177250136","14.0775736693769","14.0808174226179","-5.72940189687554","0.00323849795723515","0.996761502042763","0.0628846341439342","0.238766501786191","0.0378910412185078","0.0384805752764681","0.200875460567683","0.627992500156573","-0.000396220695084382","-3.59802142162068","0.128497981318612","-3.59527734372281","0.00265069985764707","0.997349300142355","0.000632898332295546","0.0377906034409439","0.0384235017732395","OK","0.0164716463385005","0.9835283536615"
