year,y,k_NR,k_ME,phi,s_ME,omega,omega_kME,k_CL,c_t,ECT_m,ECT_m_lag1,ECT_theta,theta_CL,g_Y,g_K_CL,g_Yp,g_mu,mu_CL
1958,16.06507652300002,17.573787035014526,16.832302962668233,0.47640636910787254,0.3226797032823319,0.4467800326865331,7.520336867850541,17.963398041123572,-0.7414840723462923,-1.1404722903622204,-0.4923938585127008,0.1674057984123083,0.8450251430580896,0.05345988381768407,0.05095566597431045,0.04305881892956192,0.010401064888122154,0.9049762083852735
1959,16.006793843735952,17.599289718273212,16.869997780931136,0.482250332682313,0.32535012612182895,0.5750776192763191,9.701558161054663,17.992851146322657,-0.7292919373420759,-0.48210639185876936,-1.1404722903622204,0.13834727632997623,0.8398694461934965,-0.05828267926406738,0.029453105199085172,0.024736763152234456,-0.08301944241630184,0.8328796982430641
1960,16.0864941939034,17.63787753299417,16.923918301686196,0.48970151266893247,0.32872458576724484,0.6093126657451776,10.311957775254015,18.036453305815563,-0.7139592313079746,-0.02959364715220758,-0.48210639185876936,0.1918064780219222,0.8344216201850965,0.07970035016744603,0.04360215949290591,0.036382584567639535,0.0433177655998065,0.869751011892761
1961,16.133210487830446,17.672201487705973,16.992117592626443,0.5065744914755551,0.33624257834035903,0.6588962612543945,11.196042752576584,18.08204001278635,-0.6800838950795303,0.35009043394536654,-0.02959364715220758,0.22760648690133678,0.8224959933797064,0.046716293927048014,0.045586706970787816,0.03749488383484771,0.009221410092200302,0.8778084359608996
1962,16.17950836250323,17.712531382949667,17.047707583326627,0.5143641508797592,0.3396568457995672,0.5941905193772513,10.129586223128356,18.127527031421703,-0.66482379962304,-0.2154047288534766,0.35009043394536654,0.20204670515837808,0.8178435961526282,0.0462978746727849,0.04548701863535243,0.03720126689899825,0.009096607773786652,0.885829943945551
1963,16.240849479811228,17.769981409740094,17.08589116125977,0.5045490350951006,0.3353490137748875,0.5576814422070525,9.52848442420408,18.17847461858348,-0.6840902484803237,-0.5236324803719548,-0.2154047288534766,0.17767483112220095,0.824745237961993,0.06134111730799674,0.05094758716177594,0.04201877989732827,0.019322337410668466,0.9031126827564963
1964,16.262856465148943,17.819717460668997,17.127291335267294,0.5003606575905039,0.3334935870646295,0.6767742739731578,11.59131015855228,18.225422978270153,-0.6924261254017026,0.17621998074814105,-0.5236324803719548,0.1940824374758794,0.826546804281046,0.022006985337714724,0.04694835968667377,0.03880501666525729,-0.016798031327542567,0.8880688745458403
1965,16.27090691739565,17.86157852486959,17.15317090009882,0.49242770315456846,0.32995079233232943,0.6381088691725728,10.945590485785942,18.261982649883507,-0.7084076247707678,-0.11300359885400636,0.17621998074814105,0.13393748644347436,0.8323002514158788,0.00805045224670664,0.03655967161335383,0.03042862387547636,-0.02237817162876972,0.8684162320908735
1966,16.376627828568118,17.895819861905366,17.192873954565947,0.4951245621614712,0.33115940617394435,0.553495656761064,9.516181061092672,18.298029384448718,-0.7029459073394193,-0.44917868199286826,-0.11300359885400636,0.16371338259129864,0.8311800539081532,0.10572091117246885,0.036046734565211125,0.029961326779125073,0.07575958439334377,0.9367633736075053
1967,16.408577693072512,17.931489643808593,17.232103856394982,0.4968904064245619,0.331948420734035,0.5791916250038267,9.980690234820118,18.334879537764962,-0.6993857874136111,-0.4471335869437451,-0.44917868199286826,0.16694780375560558,0.8297533914895324,0.0319498645043943,0.036850153316244416,0.030576539691063043,0.0013733248133312552,0.938050737774945
