gamma,ok,ssr,n_r1,n_r2,msg
-4.78979228391008,TRUE,0.1023800737896255,25,45,NA
-4.789352821837112,TRUE,0.1023800737896255,25,45,NA
-4.788913359764145,TRUE,0.1023800737896255,25,45,NA
-4.786550597643787,TRUE,0.10063009009060156,26,44,NA
-4.783540526306512,TRUE,0.10063009009060156,26,44,NA
-4.780530454969237,TRUE,0.10063009009060156,26,44,NA
-4.777933404270614,TRUE,0.09662718605383797,27,43,NA
-4.777809249294557,TRUE,0.09662718605383797,27,43,NA
-4.777685094318499,TRUE,0.09662718605383797,27,43,NA
-4.777560939342441,TRUE,0.09662718605383797,27,43,NA
-4.777285785263851,TRUE,0.1018788417626698,28,42,NA
-4.776880985491168,TRUE,0.1018788417626698,28,42,NA
-4.776476185718486,TRUE,0.1018788417626698,28,42,NA
-4.776071385945802,TRUE,0.1018788417626698,28,42,NA
-4.7741787117272025,TRUE,0.09914030444066656,29,41,NA
-4.7721791416746235,TRUE,0.09914030444066656,29,41,NA
-4.770179571622045,TRUE,0.09914030444066656,29,41,NA
-4.768107957081034,TRUE,0.09959392249798663,30,40,NA
-4.76588867124053,TRUE,0.09959392249798663,30,40,NA
-4.763669385400025,TRUE,0.09959392249798663,30,40,NA
-4.761450099559521,TRUE,0.09959392249798663,30,40,NA
-4.758929999967511,TRUE,0.09562108566899716,31,39,NA
-4.756294550741465,TRUE,0.09562108566899716,31,39,NA
-4.75365910151542,TRUE,0.09562108566899716,31,39,NA
-4.751034562167433,TRUE,0.09028778977272159,32,38,NA
-4.748491762982756,TRUE,0.09028778977272159,32,38,NA
-4.745948963798077,TRUE,0.09028778977272159,32,38,NA
-4.743406164613399,TRUE,0.09028778977272159,32,38,NA
-4.740538111047749,TRUE,0.09305251991356311,33,37,NA
-4.737360893423861,TRUE,0.09305251991356311,33,37,NA
-4.734183675799972,TRUE,0.09305251991356311,33,37,NA
-4.731006458176084,TRUE,0.09305251991356311,33,37,NA
-4.7259574109722156,TRUE,0.08932999412800734,34,36,NA
-4.720717818242241,TRUE,0.08932999412800734,34,36,NA
-4.715478225512266,TRUE,0.08932999412800734,34,36,NA
-4.711777243863831,TRUE,0.08541404476824134,35,35,NA
-4.711623359618944,TRUE,0.08541404476824134,35,35,NA
-4.711469475374057,TRUE,0.08541404476824134,35,35,NA
-4.71131559112917,TRUE,0.08541404476824134,35,35,NA
-4.71058732302175,TRUE,0.08365734119092094,36,34,NA
-4.7096099065895425,TRUE,0.08365734119092094,36,34,NA
-4.708632490157335,TRUE,0.08365734119092094,36,34,NA
-4.707718062035857,TRUE,0.07891362250437406,37,33,NA
-4.707422401437425,TRUE,0.07891362250437406,37,33,NA
-4.707126740838993,TRUE,0.07891362250437406,37,33,NA
-4.706831080240561,TRUE,0.07891362250437406,37,33,NA
-4.7062694606701445,TRUE,0.08106056620453012,38,32,NA
-4.705428040396859,TRUE,0.08106056620453012,38,32,NA
