"variable","family","window_id","start_year","end_year","n_obs","level_stationarity_flag","first_difference_stationarity_flag","i2_risk_flag","unstable_classification_flag","notes"
"q_omega_h1_Kcap","aggregate_q_indexes","post_1973_full",1974,2024,51,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"q_omega_h1_Kcap","aggregate_q_indexes","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h1_Kcap","aggregate_q_indexes","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h1_Kcap","aggregate_q_indexes","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h1_Kcap","aggregate_q_indexes","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"q_omega_h3_Kcap","aggregate_q_indexes","full_long_sample",1929,2024,93,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h3_Kcap","aggregate_q_indexes","pre_1974_full",1929,1973,42,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h3_Kcap","aggregate_q_indexes","post_1973_full",1974,2024,51,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"q_omega_h3_Kcap","aggregate_q_indexes","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h3_Kcap","aggregate_q_indexes","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h3_Kcap","aggregate_q_indexes","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h3_Kcap","aggregate_q_indexes","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"q_omega_h5_Kcap","aggregate_q_indexes","full_long_sample",1929,2024,91,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h5_Kcap","aggregate_q_indexes","pre_1974_full",1929,1973,40,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h5_Kcap","aggregate_q_indexes","post_1973_full",1974,2024,51,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"q_omega_h5_Kcap","aggregate_q_indexes","fordist_core",1945,1973,29,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h5_Kcap","aggregate_q_indexes","bridge_1940_1978",1940,1978,39,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h5_Kcap","aggregate_q_indexes","pre_1974_alt_1940_1973",1940,1973,34,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_omega_h5_Kcap","aggregate_q_indexes","pre_1974_alt_1947_1973",1947,1973,27,FALSE,FALSE,TRUE,TRUE,"window_classification=I2_risk"
"q_e_h1_Kcap","aggregate_q_indexes","full_long_sample",1929,2024,95,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_e_h1_Kcap","aggregate_q_indexes","pre_1974_full",1929,1973,44,FALSE,TRUE,FALSE,TRUE,"window_classification=I1_recommended"
"q_e_h1_Kcap","aggregate_q_indexes","post_1973_full",1974,2024,51,TRUE,TRUE,FALSE,TRUE,"window_classification=I0_recommended"
