"year","Y_real","Yp","mu_t","mu_formula","anchor_check_mu_t","anchor_tolerance","candidate_spec_id","reconstruction_estimator","robustness_estimator","stress_diagnostic_estimator","reconstruction_window_id","reconstruction_window_role","reconstruction_year_start","reconstruction_year_end","anchor_type","anchor_year","anchor_variable","anchor_value","anchor_source","anchor_status","sector_target","composition_basis","composition_tier","direct_sector_asset_split","capacity_register","a00_baseline_available","omega_k_formula","a03_composition_status","a03_composition_basis","a03_composition_tier","fragility_flag"
1968,3505836.10678337,3447078.36095964,1.01704566582797,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1969,3627738.03191489,3542140.08748787,1.02416560110917,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1970,3559188.01921839,3628761.25044,0.980827277844973,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1971,3654849.63775222,3831080.60871205,0.953999670338684,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1972,3887808.90971532,3980297.38586966,0.976763425646868,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1973,4131343.18670208,4131343.18670208,1,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1974,4091901.78516684,4215322.26770815,0.970720985323759,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1975,4052858.41151079,4470007.54488505,0.906678203742275,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1976,4339158.7810433,4619075.92224011,0.939399753130479,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1977,4619806.51733436,4776143.15421292,0.967267179431031,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1978,4905061.25627568,4914323.59725224,0.998115235842072,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1979,5037703.94705068,5006358.65648304,1.0062610956822,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1980,5016122.84564781,5145889.29916772,0.97478250192034,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1981,5206837.96264241,5469584.06490039,0.951962324897045,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1982,5084278.62295942,5635244.53091117,0.902228571461359,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1983,5238209.5342362,5868361.54553231,0.892618747770261,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
1984,5667134.75551586,6126666.33622807,0.92499484132261,"Y_real / Yp",1,1e-08,"SPEC_B1_WAGE_BASELINE","FM_OLS","IM_OLS","DOLS","fordist_core","benchmark",1945,1973,"point_year_external_pinch",1973,"mu_t",1,"externally_locked_by_D03_S40_contract","externally_locked","NFCorp","ME_NRC_component_proxy","Tier B",FALSE,"gross_real_GPIM_stock",TRUE,"omega_t * k_t","proxy_available","ME_NRC_component_proxy","Tier B",TRUE
