"year","unadjusted_nos_share_gva","after_interest_surplus_share_gva","difference_gva","unadjusted_nos_share_nva","after_interest_surplus_share_nva","difference_nva","selected_interest_value"
1998,0.1526806416835,0.122266355101847,-0.0304142865816537,0.175508361077839,0.140546747526573,-0.0349616135512652,148275
1999,0.146005327880589,0.115380269350523,-0.0306250585300653,0.168091342615446,0.132833675784236,-0.0352576668312094,158279
2000,0.131766842013672,0.0961603124925714,-0.0356065295211011,0.152124039062836,0.111016511516581,-0.0411075275462544,196220
2001,0.121547699636409,0.0805856212170876,-0.0409620784193214,0.141805921773149,0.09401673855231,-0.0477891832208394,224069
2002,0.131873053932398,0.0957325007021673,-0.036140553230231,0.15427681339015,0.111996383687086,-0.0422804297030639,200347
2003,0.144779248040939,0.114398046790726,-0.030381201250213,0.168877676403383,0.133439540462597,-0.0354381359407855,174198
2004,0.16117881695391,0.134712481542366,-0.0264663354115443,0.187177470535935,0.15644203141117,-0.0307354391247647,162335
2005,0.176032985330914,0.149422502737042,-0.0266104825938719,0.204437753348291,0.17353339035758,-0.0309043629907104,174978
2006,0.184835532555958,0.158763023436917,-0.0260725091190406,0.214975765790582,0.184651739146783,-0.0303240266437993,183070
2007,0.175238209670256,0.139154461941914,-0.0360837477283428,0.204788678144225,0.162620117910233,-0.0421685602339912,261873
2008,0.166115493490934,0.121675237110456,-0.0444402563804783,0.195731500141583,0.143368184322988,-0.0523633158185952,325645
2009,0.157302215298735,0.113628189891853,-0.0436740254068816,0.187587368589782,0.135504850322373,-0.0520825182674086,301527
2010,0.186475582494761,0.144761698267782,-0.0417138842269791,0.22046564601266,0.171148312822098,-0.0493173331905618,303977
2011,0.188489116980242,0.149094975462282,-0.0393941415179591,0.222582619150379,0.176062950860102,-0.0465196682902768,301801
2012,0.193900364741761,0.155937212733808,-0.0379631520079537,0.228720752469119,0.183940224567984,-0.0447805279011352,307917
