"year","NFC_NET_INTEREST_MISC_PAYMENTS_PROXY","NFC_FINANCIAL_CLAIMS_BURDEN_NOS","NFC_FINANCIAL_CLAIMS_BURDEN_NVA","NFC_SURPLUS_AFTER_NET_INTEREST_PROXY","NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_NVA","NFC_SURPLUS_AFTER_NET_INTEREST_SHARE_GVA"
1998,148275,0.199201982951454,0.0349616135512652,596070,0.140546747526573,0.122266355101847
1999,158279,0.209753020486432,0.0352576668312094,596318,0.132833675784236,0.115380269350523
2000,196220,0.27022374504055,0.0411075275462543,529919,0.111016511516581,0.0961603124925714
2001,224069,0.337004143573701,0.0477891832208394,440816,0.09401673855231,0.0805856212170876
2002,200347,0.27405563269019,0.0422804297030639,530698,0.111996383687086,0.0957325007021673
2003,174198,0.20984499962054,0.0354381359407855,655929,0.133439540462597,0.114398046790726
2004,162335,0.164204800058263,0.0307354391247647,826278,0.15644203141117,0.134712481542366
2005,174978,0.1511675925046,0.0309043629907104,982532,0.17353339035758,0.149422502737042
2006,183070,0.141057884046983,0.0303240266437993,1114766,0.184651739146783,0.158763023436917
2007,261873,0.205912556378207,0.0421685602339912,1009895,0.162620117910233,0.139154461941914
2008,325645,0.267526258066371,0.0523633158185952,891600,0.143368184322988,0.121675237110456
2009,301527,0.277644058120477,0.0520825182674086,784493,0.135504850322373,0.113628189891853
2010,303977,0.223696226974655,0.0493173331905618,1054906,0.171148312822098,0.144761698267782
2011,301801,0.208999554717467,0.0465196682902768,1142226,0.176062950860102,0.149094975462282
2012,307917,0.195786903539421,0.0447805279011352,1264798,0.183940224567984,0.155937212733808
2013,301337,0.184359678092341,0.0422338264166006,1333169,0.18685003212348,0.158375687222365
2014,310655,0.181517476874642,0.0414260851986106,1400778,0.186794832764126,0.15824961964929
2015,324537,0.18662298634041,0.0415324055962151,1414461,0.181014700795373,0.153373496719376
2016,343885,0.205698190088013,0.0435001777272917,1327909,0.167975565976039,0.142077223620802
2017,351963,0.206003165290436,0.0426000322438682,1356569,0.164193063307882,0.138829870574978
2018,358281,0.195233499769228,0.0409199446711994,1476860,0.168674949235677,0.142860127740863
2019,372810,0.200235033530949,0.0408106476152027,1489052,0.163003075166205,0.137877585276484
2020,324369,0.169597788952921,0.0369838962153672,1588209,0.18108437250265,0.151277277047304
2021,326392,0.12769924837917,0.0318205526421748,2229551,0.217363002046353,0.184676714219591
2022,307810,0.112474631911502,0.0269183700275874,2428896,0.212409997357223,0.180648470245797
2023,218873,0.0760573589794199,0.0182256441549003,2658863,0.221404608584113,0.187728278298954
2024,199330,0.067392192945948,0.0158514926749372,2758431,0.21936110365133,0.185762974253759
2025,201022,0.0662768082604176,0.0152426335144582,2832045,0.214741789612349,0.181517841920469
