"year","asset","nominal_investment","real_or_quantity_input","recovered_implicit_price","S12D_B_price","S29C_deflator","D03_deflator","absolute_difference_vs_S12D_B","relative_difference_vs_S12D_B","absolute_difference_vs_S29C","relative_difference_vs_S29C","recovery_status","notes"
1969,"ME",48513,821332.224519679,5.90662323377982,5.90662323377982,5.90662323377982,5.90662323377982,0.000000000000000888178419700125,0.000000000000000150369912646647,0.000000000000000888178419700125,0.000000000000000150369912646647,"PASS","Recovered SFC span."
1970,"ME",48645,753978.432204573,6.45177606178547,6.45177606178546,6.45177606178546,6.45177606178546,0.00000000000000621724893790088,0.000000000000000963649215093854,0.00000000000000621724893790088,0.000000000000000963649215093854,"PASS","Recovered SFC span."
1971,"ME",49862,719629.354492161,6.92884464603134,6.92884464603134,6.92884464603134,6.92884464603134,0.00000000000000177635683940025,0.000000000000000256371289897184,0.00000000000000177635683940025,0.000000000000000256371289897184,"PASS","Recovered SFC span."
1972,"ME",57532,777121.83200943,7.40321499541939,7.40321499541939,7.40321499541939,7.40321499541939,-0.000000000000000888178419700125,-0.000000000000000119971987879546,-0.000000000000000888178419700125,-0.000000000000000119971987879546,"PASS","Recovered SFC span."
1973,"ME",69163,865755.110073952,7.98874868830889,7.98874868830889,7.98874868830889,7.98874868830889,-0.0000000000000035527136788005,-0.000000000000000444714662760603,-0.0000000000000035527136788005,-0.000000000000000444714662760603,"PASS","Recovered SFC span."
1974,"ME",77367,791899.469592468,9.76980070965511,9.76980070965512,9.76980070965512,9.76980070965512,-0.00000000000000888178419700125,-0.000000000000000909105974723079,-0.00000000000000888178419700125,-0.000000000000000909105974723079,"PASS","Recovered SFC span."
1975,"ME",78218,686368.248458812,11.3959234238519,11.3959234238519,11.3959234238519,11.3959234238519,0.000000000000035527136788005,0.00000000000000311753031910042,0.000000000000035527136788005,0.00000000000000311753031910042,"PASS","Recovered SFC span."
1976,"ME",88806,696920.907214642,12.7426224526579,12.7426224526579,12.7426224526579,12.7426224526579,-0.000000000000014210854715202,-0.00000000000000111522214269464,-0.000000000000014210854715202,-0.00000000000000111522214269464,"PASS","Recovered SFC span."
1977,"ME",110693,774555.915097963,14.291156757353,14.291156757353,14.291156757353,14.291156757353,0.0000000000000124344978758018,0.000000000000000870083373020454,0.0000000000000124344978758018,0.000000000000000870083373020454,"PASS","Recovered SFC span."
1978,"ME",133246,830803.114517424,16.0382162357921,16.0382162357921,16.0382162357921,16.0382162357921,0.0000000000000106581410364015,0.000000000000000664546535581431,0.0000000000000106581410364015,0.000000000000000664546535581431,"PASS","Recovered SFC span."
1979,"ME",154049,843208.29667108,18.2693885494454,18.2693885494454,18.2693885494454,18.2693885494454,0.000000000000014210854715202,0.000000000000000777850592905223,0.000000000000014210854715202,0.000000000000000777850592905223,"PASS","Recovered SFC span."
1980,"ME",160983,753710.628878874,21.3587275848104,21.3587275848104,21.3587275848104,21.3587275848104,0,0,0,0,"PASS","Recovered SFC span."
1981,"ME",178582,746553.271421577,23.9208649718923,23.9208649718923,23.9208649718923,23.9208649718923,-0.000000000000007105427357601,-0.000000000000000297038897462533,-0.000000000000007105427357601,-0.000000000000000297038897462533,"PASS","Recovered SFC span."
1982,"ME",172988,668207.772573798,25.8883549548797,25.8883549548797,25.8883549548797,25.8883549548797,-0.000000000000014210854715202,-0.000000000000000548928456055621,-0.000000000000014210854715202,-0.000000000000000548928456055621,"PASS","Recovered SFC span."
1983,"ME",178185,653087.843590387,27.2834660373431,27.2834660373431,27.2834660373431,27.2834660373431,0.000000000000049737991503207,0.00000000000000182300853693333,0.000000000000049737991503207,0.00000000000000182300853693333,"PASS","Recovered SFC span."
1984,"ME",209990,728536.316722285,28.8235459482313,28.8235459482314,28.8235459482314,28.8235459482314,-0.0000000000000603961325396085,-0.00000000000000209537482473819,-0.0000000000000603961325396085,-0.00000000000000209537482473819,"PASS","Recovered SFC span."
1985,"ME",219164,716084.373531874,30.6058906046278,30.6058906046278,30.6058906046278,30.6058906046278,0.0000000000000461852778244065,0.00000000000000150903231083963,0.0000000000000461852778244065,0.00000000000000150903231083963,"PASS","Recovered SFC span."
1986,"ME",218377,667783.475049416,32.7017675877409,32.701767587741,32.701767587741,32.701767587741,-0.000000000000063948846218409,-0.00000000000000195551650371284,-0.000000000000063948846218409,-0.00000000000000195551650371284,"PASS","Recovered SFC span."
1987,"ME",217507,623836.230081967,34.8660416807503,34.8660416807503,34.8660416807503,34.8660416807503,0.000000000000007105427357601,0.000000000000000203792200521688,0.000000000000007105427357601,0.000000000000000203792200521688,"PASS","Recovered SFC span."
1988,"ME",235044,626550.360792775,37.5139836648723,37.5139836648723,37.5139836648723,37.5139836648723,-0.000000000000014210854715202,-0.000000000000000378814866534926,-0.000000000000014210854715202,-0.000000000000000378814866534926,"PASS","Recovered SFC span."
1989,"ME",252488,629302.760825473,40.1218643421816,40.1218643421816,40.1218643421816,40.1218643421816,0.000000000000028421709430404,0.000000000000000708384565283603,0.000000000000028421709430404,0.000000000000000708384565283603,"PASS","Recovered SFC span."
1990,"ME",260938,604986.535206934,43.1312078558487,43.1312078558487,43.1312078558487,43.1312078558487,0.000000000000007105427357601,0.000000000000000164739818586775,0.000000000000007105427357601,0.000000000000000164739818586775,"PASS","Recovered SFC span."
1991,"ME",258173,568466.855079602,45.4156645533623,45.4156645533622,45.4156645533622,45.4156645533622,0.000000000000063948846218409,0.00000000000000140807905922572,0.000000000000063948846218409,0.00000000000000140807905922572,"PASS","Recovered SFC span."
1992,"ME",278060,583048.390469939,47.6907242254597,47.6907242254597,47.6907242254597,47.6907242254597,-0.000000000000007105427357601,-0.000000000000000148989713890899,-0.000000000000007105427357601,-0.000000000000000148989713890899,"PASS","Recovered SFC span."
