year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained,ME_share_repaired,ME_NRC_ratio_repaired,log_ME_NRC_ratio_repaired,d_k_Kcap,d_k_NRC,Q_MEshare_Kcap,Q_omega_MEshare_Kcap,Q_MEshare_NRC,Q_omega_MEshare_NRC,Q_ME_NRC_ratio_Kcap,Q_omega_ME_NRC_ratio_Kcap,Q_ME_NRC_ratio_NRC,Q_omega_ME_NRC_ratio_NRC,Q_log_ME_NRC_ratio_Kcap,Q_omega_log_ME_NRC_ratio_Kcap,Q_log_ME_NRC_ratio_NRC,Q_omega_log_ME_NRC_ratio_NRC
1971,14.611350599152267,7486.01536947539,1400896.05825014,1408382.07361962,8.920791941558097,14.152622631453458,14.157952137993746,0.1857415687691421,0.0228720891800602,0.0236712914629997,0.0053153299162889,0.9946846700837112,0.64098353494678,0.63797240824182,1.8384271621360329,0.0014734844870865314,0.0001518050358527,0.0007952720084071,0.005315329916288938,0.005343733623482513,-5.231830689895359,0.023671291462999733,0.02287208918006023,0.0014734844870865314,0.0009335604056150129,0.0014605393391471779,0.0009253249018189339,0.0014756880903762787,0.0009349609482482933,0.0014627007947743884,0.0009266984619159634,-23.216126960379153,-14.76346995080994,-23.18434885914696,-14.74341555165453
1972,14.684298696393933,8839.47912381149,1426906.26096577,1435745.74008958,9.086983231249922,14.171019204718817,14.177194951694164,0.1661912896918256,0.0183965732653597,0.0192428137004174,0.0061567162464713,0.9938432837535288,0.641336309259143,0.638789360651219,1.8507614888840485,0.001575766390421935,0.0001671083069516,0.0008413863301823,0.006156716246471302,0.006194856218395653,-5.084035973468894,0.01924281370041747,0.018396573265359706,0.001575766390421935,0.0009991214215760247,0.0015583231953817456,0.0009880027436488948,0.0015785165609576094,0.0010008723048146857,0.0015610071818893505,0.0009897112374367583,-23.316802103656936,-14.828001060029406,-23.28059661574558,-14.80510877890981
1973,14.74347014318556,10780.0928121155,1460458.16232414,1471238.25513626,9.285456454084136,14.194260754267574,14.20161495460973,0.1984732228342132,0.0232415495487572,0.0244200029155656,0.0073272243801987,0.9926727756198012,0.64395880536602,0.641378772213877,1.8664229234260148,0.0017261134191110747,0.0001876549635878,0.0011705081337274,0.007327224380198789,0.007381308886630689,-4.908804300183439,0.024420002915565675,0.023241549548757234,0.0017261134191110747,0.001095544430063596,0.0017014148210817471,0.0010797725987612245,0.0017297949678723415,0.0010978926399759829,0.00170498523963662,0.0010820495936066919,-23.44095427695189,-14.907624356636891,-23.39875748973062,-14.880889637730212
1974,14.728265044687175,12875.7376995495,1505275.57442061,1518151.31212016,9.463100020942912,14.224486545330585,14.233003910573661,0.1776435668587765,0.0302257910630103,0.0313889559639317,0.0084811952515905,0.9915188047484096,0.654104621464026,0.648983395516306,1.886636118010235,0.001956107342518982,0.0002243959918528,0.0011539708713917,0.008481195251590577,0.00855374120084653,-4.761386524387673,0.031388955963931764,0.030225791063010377,0.001956107342518982,0.0012436510422227957,0.0019228859742694315,0.0012223908979910004,0.0019614865474709706,0.001247092472787682,0.001928091139815461,0.0012257206025559687,-23.595036518965905,-15.006846973132355,-23.547129982877173,-14.976435411166042
1975,14.714326694571575,14972.9309034757,1547382.37649219,1562355.30739567,9.613999243385583,14.252075271923283,14.261705053037975,0.1508992224426713,0.0275887265926986,0.0287011424643139,0.0095835632474885,0.9904164367525116,0.6334561606626,0.629506651683764,1.90540966793744,0.0021995273357025462,0.0002575162742323,0.0011023679958979,0.0095835632474885,0.009676296648420096,-4.6380760285377,0.02870114246431399,0.02758872659269862,0.0021995273357025462,0.001402873184720907,0.0021568713512448577,0.001375441814425629,0.002206988692279339,0.0014076765602861665,0.0021640779671503172,0.0013800806769203315,-23.73169375193002,-15.096235100770668,-23.678490573900664,-15.062358980832753
1976,14.793034479381133,17301.8198134482,1579822.06833701,1597123.88815046,9.758566966482427,14.272822783685031,14.283714999736512,0.1445677230968431,0.0207475117617477,0.022009946698537,0.0108331106571103,0.9891668893428897,0.630753371060034,0.627960062834082,1.919352004269484,0.002410461051961827,0.0002817793350642,0.0012495474096218,0.010833110657110321,0.010951752200588548,-4.514255817202604,0.022009946698537064,0.020747511761747717,0.002410461051961827,0.0015364904467768052,0.0023557064424415785,0.0015013951279001017,0.002419963465750298,0.0015425867426070673,0.0023648370456735733,0.0015072527520198346,-23.833777558101897,-15.160900716694131,-23.77471911085463,-15.123315540397792
1977,14.864403050489017,19862.356988509,1610982.38327681,1630844.74026532,9.896581610743985,14.292354726827321,14.30460868410164,0.1380146442615579,0.0195319431422902,0.0208936843651272,0.0121791832772981,0.987820816722702,0.630403843120234,0.626112863168844,1.932530766116652,0.0026368046467239864,0.0003078869842401,0.0013460726201878,0.012179183277298139,0.012329344625177142,-4.395773116083338,0.020893684365127285,0.01953194314229023,0.0026368046467239864,0.0016792574321908837,0.0025672981438503955,0.0016348573068520414,0.0026487859194744834,0.0016869172766678258,0.002578746046963921,0.0016421765756838064,-23.928096994289966,-15.22039301902624,-23.862891298805984,-15.178930445181848
1978,14.926955159197709,23431.0195134197,1648725.60388402,1672156.62339744,10.061816043718624,14.315513186169705,14.329624742520387,0.1652344329746391,0.0231584593423832,0.0250160584187479,0.0140124550449187,0.9859875449550812,0.636152526475711,0.62883238917044,1.9483009854835511,0.002941479807081515,0.0003415604155425,0.0018332717676205,0.014012455044918716,0.014211594372175444,-4.253697142451081,0.02501605841874799,0.023158459342383253,0.002941479807081515,0.0018713258241835435,0.0028493492646011385,0.001812663417329679,0.002957217524882791,0.0018813537460569667,0.0028642746731843173,0.001822174918973985,-24.03806191135747,-15.289715325353992,-23.96469063179314,-15.24310513592403
1979,14.95301498016827,27536.0870977566,1700765.07250964,1728301.1596074,10.223252681496747,14.346588750440352,14.362649495340971,0.1614366377781237,0.0310755642706475,0.0330247528205838,0.0159324588453159,0.984067541154684,0.649784944902043,0.64207996266832,1.9693097654266012,0.0034042376713494986,0.0004021037625212,0.0019200038003971,0.015932458845315908,0.01619041191687015,-4.123336068943606,0.033024752820583814,0.031075564270647504,0.0034042376713494986,0.002165710408684125,0.003284794211939069,0.0020896728207197863,0.003426551916210285,0.002179922004861892,0.0033059079874852276,0.002103121067642351,-24.178539208060542,-15.379080312564128,-24.09687667073125,-15.327195618559324
1980,14.959763930665492,32101.5735935217,1766751.3831868,1798852.95678032,10.376660329521625,14.38465304145179,14.402659773505556,0.1534076480248778,0.0380642910114374,0.0400102781645852,0.0178455795803225,0.9821544204196776,0.654602937898175,0.647330415459289,1.995307841819292,0.0040416997815963945,0.0004789236486521,0.0019131207350066,0.017845579580322523,0.018169830740767886,-4.007992711930164,0.040010278164585245,0.03806429101143749,0.0040416997815963945,0.0025799236908680447,0.0038912519619549247,0.0024837399363992563,0.004074334800603476,0.0026008415707058077,0.0039221845382840185,0.002503568292247564,-24.343515031145042,-15.48627911867726,-24.253828534797474,-15.42918057690387
1981,15.00453864422257,36806.6119196561,1854835.49715912,1891642.10907878,10.513432779747776,14.433306569314546,14.452955850594579,0.1367724502261502,0.048653527862756,0.0502960770890226,0.019457492378186,0.980542507621814,0.637119794842787,0.630741087162103,2.0282318016465197,0.004939262427866584,0.0005751461166206,0.0016119127978635,0.019457492378186066,0.01984359905556551,-3.9198737895667697,0.05029607708902262,0.04865352786275601,0.004939262427866584,0.0031674708360641714,0.0047595023652931764,0.003052099201255751,0.00498820600823563,0.003199064348082369,0.004806210904491529,0.003082254548746449,-24.545101341556524,-15.618238109712669,-24.448831519881093,-15.55683010383852
1982,14.99535315651947,41556.1247232935,1948144.07454188,1989700.19926518,10.634800195516496,14.482387720686798,14.503494531715688,0.1213674157687201,0.0490811513722526,0.0505386811211092,0.0208856212300932,0.9791143787699068,0.637923812080797,0.631693306878897,2.0604309957940257,0.005922618430584144,0.0006566100635069,0.0014281288519071,0.02088562123009326,0.021331135241147766,-3.8475875251703027,0.050538681121109263,0.04908115137225266,0.005922618430584144,0.003793986410773006,0.005714498494031379,0.0036605461388730907,0.005991075333200001,0.003838012246657793,0.00578015759350803,0.0037027752634404536,-24.743206593042434,-15.74445488689665,-24.641223438706945,-15.679406803690258
1983,15.043751006545548,47881.8652781795,2019096.88720916,2066978.75248734,10.776492116268553,14.518160883864828,14.541598559214526,0.1416919207520575,0.03577316317803,0.0381040274988375,0.0231651463376485,0.9768348536623516,0.62949324210345,0.622788790924917,2.084738462271716,0.006718444716265923,0.0007110275245518,0.0022795251075553,0.02316514633764857,0.02371449611036886,-3.741668767596276,0.03810402749883757,0.03577316317803003,0.006718444716265923,0.004301662948689228,0.006461643230370033,0.0041371675572543475,0.006803877497010119,0.004356518101463064,0.0065432397752622365,0.004189563557756028,-24.889815173905706,-15.837979991684705,-24.778863815086616,-15.767210877286612
1984,15.139178967818273,56173.2395453587,2113756.62054726,2169929.86009262,10.936195757806052,14.563977311323557,14.590205402456295,0.159703641537499,0.0458164274587282,0.0486068432417692,0.025887122242265,0.9741128777577348,0.623632973944295,0.616513134467756,2.1153361416123917,0.007844429352972651,0.0008218280441205,0.0027219759046164,0.02588712224226504,0.02657507444296743,-3.6277815535175058,0.048606843241769226,0.04581642745872827,0.007844429352972651,0.005010462668208422,0.007522987477119734,0.00480527658812866,0.007956564292004364,0.005082126649173826,0.0076297532660232455,0.004873516457644313,-25.07168588115488,-15.952466372834635,-24.95029371075178,-15.875124838102332
1985,15.186087037842112,65332.4312957268,2239945.22297547,2305277.6542712,11.087243842751173,14.62196196950341,14.650711684542946,0.1510480849451205,0.0579846581798531,0.0605062820866511,0.0283403741734447,0.9716596258265552,0.628950706261489,0.621155236627583,2.153069854252402,0.009410762873774759,0.0009865246860383,0.0024532519311797,0.02834037417344478,0.02916697722140782,-3.534718126752238,0.0605062820866511,0.0579846581798531,0.009410762873774759,0.005987279899974879,0.009024043411597545,0.00574138456460379,0.009564523242724304,0.00608490287159165,0.009170699873702863,0.005834501573280925,-25.29118945518076,-16.089356039495797,-25.16064938408367,-16.00630957224835
1986,15.219449091139962,76191.5671644996,2351717.03754924,2427908.60471374,11.241006068418127,14.670656273598729,14.702540788242883,0.1537622256669539,0.0486943040953189,0.0518291036999372,0.0313815631348622,0.9686184368651376,0.640257827171573,0.636681996119363,2.185667805629377,0.01087961906570525,0.0011136745347814,0.0030411889614174,0.031381563134862275,0.032398271538611634,-3.4296502051806006,0.05182910369993721,0.04869430409531894,0.01087961906570525,0.006911118039286123,0.010404058209774388,0.006609345846568422,0.011076221529746357,0.007035686576868453,0.010590965532063335,0.006727778662185683,-25.47439072752225,-16.20458060912298,-25.33277002343898,-16.114564969933053
1987,15.27126941267326,87845.1277724374,2443743.93134778,2531589.05912022,11.383330631319554,14.709041819376782,14.744357750148644,0.1423245629014271,0.0383855457780537,0.0418169619057611,0.0346996000223533,0.9653003999776466,0.637971431188591,0.638188297394282,2.2124414427980765,0.012191900695859023,0.0012408478177293,0.003318036887491,0.03469960002235335,0.03594694462278984,-3.325711188057229,0.04181696190576112,0.03838554577805375,0.012191900695859023,0.007751316624445548,0.011608656638074527,0.007380599418886162,0.012431018816488984,0.007903106143936231,0.011834590867338528,0.007524019517164497,-25.61780827950237,-16.29640481933204,-25.46441901839265,-16.19885426939141
1988,15.329588889373827,100887.895856578,2526521.39253224,2627409.28838882,11.521765237367495,14.742353970938193,14.781508857212948,0.1384346060479409,0.0333121515614109,0.0371511070643038,0.0383982413027262,0.9616017586972738,0.635130978444682,0.637163221944563,2.236142787742131,0.013481029251377992,0.0013641165613797,0.0036986412803728,0.03839824130272621,0.039931542299533725,-3.2205887335706995,0.0371511070643038,0.033312151561410985,0.013481029251377992,0.008573743813996065,0.012764574973139502,0.008118042293444696,0.01376648760480485,0.008755097078125797,0.013032060934782552,0.00828797120989726,-25.741362131914837,-16.375228647384485,-25.575205613538692,-16.269532952053243
1989,15.34938707330338,115231.759096556,2619446.28330012,2734678.04239667,11.654700675851409,14.778473511149496,14.821524269320905,0.1329354384839138,0.0361195402113025,0.040015412107957,0.0421372305295458,0.957862769470454,0.640624353315478,0.638324748874071,2.261557815587125,0.015017550701327357,0.0015121192164534,0.0037389892268196,0.04213723052954589,0.04399088457404089,-3.1237728352980882,0.040015412107957005,0.03611954021130259,0.015017550701327357,0.009549636185903647,0.014151501793916622,0.00899892248215604,0.015364364726027008,0.009769958337562,0.01447436988256989,0.009204026303124951,-25.87023531731891,-16.457079999725458,-25.691531797804966,-16.343415315285018
1990,15.367127813794673,127481.09303771,2704860.68356503,2832341.77660274,11.75572334268427,14.810560965633247,14.856614410342692,0.1010226668328613,0.0320874544837508,0.0350901410217865,0.045009078385525,0.954990921614475,0.644643570706082,0.644565927434182,2.284037414486956,0.016496152062876652,0.0016433208757014,0.0028718478559791,0.04500907838552505,0.04713037304002246,-3.0548376229489773,0.035090141021786536,0.03208745448375083,0.016496152062876652,0.010496864226957548,0.015503578260604741,0.009865095594261193,0.016908011069403237,0.010758855778035198,0.015885925389039362,0.010108303136625859,-25.97984894662955,-16.527301160117148,-25.791765716475172,-16.407627604613396
1991,15.363631208762351,137394.113137656,2753783.20782487,2891177.32096253,11.830608813148421,14.828486236154394,14.877174354628616,0.0748854704641512,0.0179252705211467,0.0205599442859245,0.0475218562837629,0.9524781437162372,0.640968458828616,0.640791606148147,2.2972912503849523,0.01742153620684386,0.001702365907618,0.0025127778982379,0.04752185628376297,0.04989285748683879,-2.9978774230059724,0.02055994428592456,0.017925270521146786,0.01742153620684386,0.01109340716579936,0.016310378166572777,0.01038519396648976,0.01787700891328094,0.011383514008119015,0.016730750075544327,0.010652913939155066,-26.042656237959925,-16.56778947666674,-25.84652450726471,-16.44292750703551
1992,15.401483099438837,147066.112672643,2788118.80481481,2935184.91748745,11.898637510727823,14.84087766287244,14.892281013514317,0.0680286975794022,0.0123914267180467,0.0151066588857009,0.050104547688441,0.949895452311559,0.648208483525974,0.646778708116392,2.30697414224897,0.018139432679337972,0.0017403255861822,0.002582691404678,0.05010454768844106,0.0527474340113033,-2.9422401521446178,0.015106658885700952,0.012391426718046716,0.018139432679337972,0.01155355616137241,0.016899241766218574,0.010762636960414998,0.018630723292167504,0.011866621151950904,0.01734899376284644,0.011049188642585622,-26.08794414957042,-16.596817599575285,-25.883672485661577,-16.466738189497146
1993,15.434494957341329,159942.2813269,2800857.97467146,2960800.25599836,11.982568287426147,14.84543634773408,14.900970146516643,0.0839307766983239,0.0045586848616387,0.0086891330023259,0.054019949843921,0.945980050156079,0.64244868931149,0.64195609798046,2.312606511975563,0.01857479775822422,0.0017627669353014,0.0039154021554799,0.05401994984392105,0.0571047453220691,-2.862868060307932,0.008689133002325988,0.004558684861638795,0.01857479775822422,0.011835763498937432,0.017127652609265128,0.010910694806607096,0.01908905276182313,0.012163714202431642,0.017589452691764058,0.011205056160249591,-26.113509665577187,-16.613389383936592,-25.897085231302466,-16.475432445008945
1994,15.4970635294479,174967.748114796,2817361.69047931,2992329.43859411,12.072356939434087,14.851311434242804,14.911562718497219,0.0897886520079396,0.0058750865087251,0.0105925719805757,0.0584720872836119,0.941527912716388,0.628488369808008,0.629206773734972,2.319411695960921,0.019147007965333043,0.0018042411144662,0.0044521374396908,0.05847208728361191,0.0621034028772604,-2.778954494808718,0.010592571980575727,0.005875086508725147,0.019147007965333043,0.012203379196505153,0.01744502448779516,0.011114589953993038,0.01969393888707959,0.012552322500785362,0.01792494801058993,0.011420594688099413,-26.14383480157689,-16.632871727812795,-25.91390482881984,-16.48623817338873
1995,15.541735988469298,191341.685282094,2825323.5986288,3016665.2839109,12.161816036981046,14.854133464189722,14.919662568635816,0.0894590975469586,0.0028220299469179,0.0080998501385973,0.0634282120401614,0.9365717879598384,0.624660582765844,0.623099115110705,2.3245023575702177,0.019620623109621285,0.0018403027605242,0.0049561247565495,0.06342821204016144,0.06772381237142425,-2.692317427208675,0.008099850138597375,0.0028220299469179366,0.019620623109621285,0.012501040806455255,0.017610034469168312,0.0112182968081883,0.020196967143482337,0.012868469909619288,0.018100205673315068,0.011530742090841897,-26.166343916526824,-16.647018444773497,-25.921747121625312,-16.4911669632096
1996,15.594546593173687,211064.203997868,2844468.43554664,3055532.63954451,12.259917650523194,14.860886766449868,14.932464485487024,0.0981016135421484,0.0067533022601455,0.0128019168512079,0.069076075727776,0.930923924272224,0.620922242011602,0.619197078532264,2.332499210411013,0.020432625806180216,0.0019037506575617,0.0056478636876146,0.06907607572777609,0.07420163337383157,-2.600969115926673,0.012801916851207906,0.006753302260145588,0.020432625806180216,0.013008266884095194,0.01803838435689613,0.011485870098684042,0.021063961758308117,0.013410047270971207,0.018557565048468682,0.011816436464658776,-26.200810740367007,-16.668548511039592,-25.93992915499151,-16.502524562768
1997,15.659685674839094,232691.736319023,2872045.20037757,3104736.93669659,12.357469836494031,14.870534947319433,14.948439547279595,0.0975521859708372,0.0096481808695649,0.0159750617925702,0.0749473276040592,0.9250526723959408,0.621030977666497,0.617632293335957,2.3424184815955296,0.0215361203843197,0.0019939756289674,0.0058712518762831,0.07494732760405927,0.08101952444496084,-2.513065110825401,0.015975061792570244,0.009648180869564982,0.0215361203843197,0.01369345121160121,0.01870484282927748,0.011899688987562699,0.02224933743656472,0.014146073394740319,0.019273475828076557,0.012260961391013172,-26.242361382714503,-16.694348229043023,-25.965023775458125,-16.518106370770557
1998,15.7127780319731,264786.828347032,2885849.30282105,3150636.13116808,12.486680359915947,14.875329800327895,14.96311493681595,0.129210523421916,0.0047948530084624,0.0146753895363556,0.0840423385384283,0.9159576614615716,0.634609294105485,0.629740616676098,2.351532353106929,0.022636001611618127,0.0020801385373179,0.009095010934369,0.08404233853842832,0.09175351883003412,-2.388649440411947,0.01467538953635561,0.004794853008462496,0.022636001611618127,0.014376511525507379,0.01906420424851603,0.012122863561088033,0.023438330517844806,0.014884474930446392,0.019661952538605677,0.012502217462353736,-26.27924159214609,-16.717251981562868,-25.977073553265228,-16.525589656062767
1999,15.761938144554264,301994.973893727,2891478.59679933,3193473.57069305,12.618165653482512,14.877278554443151,14.97661977598055,0.1314852935665644,0.001948754115256,0.0135048391646002,0.0945662981729913,0.9054337018270086,0.640439844250045,0.635000562731071,2.3601026495561843,0.023770979876596484,0.0022029651971868,0.010523959634563,0.09456629817299135,0.10444309504072238,-2.2591129009606394,0.013504839164600213,0.0019487541152560794,0.023770979876596484,0.015096779281070363,0.019227982101598536,0.012226798508822835,0.024677447032430532,0.015670829787082088,0.01984075758601493,0.012615688807272622,-26.311499918659464,-16.737723415380547,-25.981728443692134,-16.528543692790723
2000,15.808877329356,338558.724528945,2891295.71299011,3229854.43751906,12.732452840863667,14.87721530320785,14.987947628399773,0.114287187381155,-6.325123530181997e-05,0.0113278524192228,0.1048216664491548,0.8951783335508452,0.652779358011841,0.644917063345876,2.3673574575952387,0.024842212946132352,0.002322179058793,0.0102553682761634,0.10482166644915485,0.11709584841420996,-2.1447624623441834,0.01132785241922285,-6.325123530181997e-05,0.024842212946132352,0.015782839621279413,0.019222000666421175,0.012222967759409453,0.0258605629992587,0.016428544392607262,0.01983415143123486,0.012611457962534182,-26.337090816199908,-16.754112845815566,-25.98158555201046,-16.52845217926437
2001,15.784614077841557,372993.948860049,2883113.04727889,3256106.99613893,12.82931747559905,14.874381187533672,14.99604286678668,0.0968646347353825,-0.0028341156741777,0.0080952383869075,0.1145521167769799,0.8854478832230201,0.654881386402621,0.647118229424371,2.372641862112397,0.025690769324151166,0.0024051987097341,0.009730450327825,0.11455211677697992,0.1293719471777509,-2.0450637119346227,0.00809523838690751,-0.002834115674177795,0.025690769324151166,0.016336759708959387,0.018924923938544187,0.012029042203705655,0.026808481806288916,0.017047326222907798,0.019502288251863002,0.01239482452935605,-26.354453179615874,-16.76544663825981,-25.975507047098542,-16.524484256730297
2002,15.794839456450736,409467.392991224,2849787.01082123,3259254.40381246,12.922612552709854,14.862754816406998,14.997009016697683,0.0932950771108043,-0.0116263711266739,0.0009661499110027,0.1256322281906736,0.8743677718093265,0.638661211919941,0.630740139778425,2.3732745757055875,0.02580144384158042,0.0024145997834523,0.0110801114136936,0.1256322281906736,0.14368350737665367,-1.9401422636971435,0.0009661499110027449,-0.011626371126673973,0.02580144384158042,0.0164092383903729,0.01759309851554892,0.011156854524248258,0.026933474501540954,0.017129181612464652,0.017998161980594007,0.011409800231502808,-26.356429017739153,-16.766740577869292,-25.951730377405898,-16.50891335831794
2003,15.8173317161896,445104.974804426,2809387.679785,3254492.65458942,13.006065431765629,14.848477110014807,14.995546954990779,0.0834528790557751,-0.0142777063921908,-0.0014620617069045,0.1367663172251279,0.8632336827748721,0.626869045229268,0.619295933302171,2.3723408136039543,0.025617761771589743,0.0023983999768461,0.0111340890344542,0.1367663172251279,0.15843487106004875,-1.8424116782491784,-0.0014620617069045494,-0.014277706392190836,0.025617761771589743,0.01629192777694469,0.015799358448045763,0.010011262318867335,0.02672340034749181,0.01699501539864657,0.01594669104886996,0.010099605320029396,-26.353592410029453,-16.764928946551674,-25.92402959580575,-16.49122194357006
2004,15.865619190636767,485720.334466074,2766564.61863558,3252284.95310165,13.09338829376604,14.83311689858794,14.994868369766081,0.0873228620004109,-0.0153602114268664,-0.0006785852246977,0.1493474100425456,0.8506525899574543,0.613230053731544,0.609224012386193,2.371915429532041,0.025524954169484443,0.0023908445485369,0.0125810928174177,0.14934741004254562,0.17556804247197472,-1.7397286048219012,-0.0006785852246977697,-0.015360211426866499,0.025524954169484443,0.016233749564022924,0.013698598899393906,0.008694361186347678,0.026615888784913565,0.01692761972806204,0.013513097931999278,0.008574061126380154,-26.352342176686783,-16.76414521396984,-25.895729762892515,-16.473481654331593
2005,15.90192014135584,529321.460252433,2722455.77059854,3251777.23085097,13.179351201615956,14.817044887779799,14.994712245105108,0.0859629078499164,-0.0160720108081413,-0.0001561246609735,0.1627791274354646,0.8372208725645353,0.597479837743853,0.593551234778269,2.371819689197804,0.025501637355724267,0.0023888803296861,0.013431717392919,0.16277912743546466,0.19442793744122427,-1.637693686163843,-0.0001561246609735889,-0.016072010808141357,0.025501637355724267,0.016219450993067923,0.011298285711022194,0.007222417000869959,0.026588478283804833,0.01691081078499432,0.010691366455825479,0.006843690581630106,-26.352070562148167,-16.763978651771733,-25.867768825952584,-16.456335167469536
2006,15.939830336479258,575596.173307346,2680815.74349007,3256411.91679742,13.263161605792822,14.801631688071547,14.996136508175761,0.0838104041768659,-0.0154131997082522,0.0014242630706533,0.1767577898662855,0.8232422101337143,0.587831471357126,0.583017283165839,2.3726706576661623,0.025733477655603774,0.0024080106287443,0.0139786624308209,0.17675778986628557,0.2147093378965297,-1.5384700822787238,0.0014242630706533532,-0.015413199708252279,0.025733477655603774,0.016357970897822417,0.00878933851152433,0.00572337163520608,0.026865394815005668,0.017076262829124788,0.0076946098271803084,0.005053188917389374,-26.354403068786414,-16.765372277459488,-25.842526726106797,-16.44125352174936
2007,15.951272530529952,625964.001447545,2644826.50597155,3270790.50741909,13.347048142753872,14.788116027917745,15.00054225904583,0.0838865369610495,-0.0135156601538017,0.0044057508700685,0.1913800348960529,0.8086199651039471,0.593479839175833,0.596912305967198,2.3752604966825475,0.026512228442098558,0.0024695971329113,0.0146222450297673,0.19138003489605293,0.23667488208932763,-1.4410678851638727,0.004405750870068559,-0.01351566015380179,0.026512228442098558,0.016815745118468162,0.0064003402941545055,0.004319043298020024,0.02781135066725515,0.017632325449591483,0.004792671384323017,0.003347338172736765,-26.36118118468999,-16.769356667304116,-25.821733287317926,-16.429030484031525
2008,15.940605324952056,658925.671586823,2604374.55447373,3263300.22606055,13.398366017422077,14.772703110090438,14.99824958055542,0.0513178746682054,-0.015412917827307,-0.0022926784904093,0.2019200275612631,0.798079972438737,0.595584591788177,0.609256031850876,2.373899838220777,0.026073455552598584,0.00243607302625,0.0105399926652101,0.20192002756126312,0.25300726059350287,-1.3743370926683613,-0.002292678490409372,-0.015412917827307027,0.026073455552598584,0.016555342254573002,0.0034506155425144906,0.002568441126803734,0.02726873125586877,0.017310291768588212,0.0011448208748926305,0.0011824124390625388,-26.357877279346454,-16.767395866092183,-25.799522226420326,-16.415848667182093
2009,15.86713090438878,666648.851177828,2552282.89864901,3218931.74982684,13.410018726265779,14.75249877100559,14.984560107765661,0.0116527088437017,-0.0202043390848487,-0.0136894727897587,0.2071025119478505,0.7928974880521495,0.593114751011546,0.589391374581907,2.365746599157493,0.023309276829591337,0.0022917860834554,0.0051824843865873,0.2071025119478505,0.2611970841988961,-1.3424800447398102,-0.013689472789758739,-0.020204339084848755,0.023309276829591337,0.014909039998201166,-0.0006290451623552759,0.00013865807125960786,0.023805195246362616,0.015247463088222838,-0.003967023609067194,-0.0018621233712013173,-26.339063329112413,-16.75619056722212,-25.77175465378317,-16.399310728768043
2010,15.90968441913657,689993.061694591,2484287.00180357,3174280.06349816,13.4444368210078,14.725496255539825,14.970591412942763,0.0344180947420209,-0.0270025154657638,-0.013968694822898,0.2173699383457034,0.7826300616542966,0.57177005128177,0.57068891168038,2.357461560205654,0.02041632504313621,0.0022193935406347,0.0102674263978529,0.21736993834570348,0.27774289411556,-1.2810594345320254,-0.013968694822898087,-0.02700251546576382,0.02041632504313621,0.013193187619689425,-0.0062213339442256455,-0.003178210897184098,0.02015661288855742,0.01308343507152809,-0.0110200019147603,-0.0060453488428723196,-26.320310635061613,-16.745068067759384,-25.735504315612605,-16.377810118469924
2011,15.9364770070632,718626.260344467,2412483.46630862,3131109.72665309,13.485096696751805,14.696167258828217,14.956898044936597,0.040659875744005,-0.0293289967116088,-0.0136933680061659,0.2295116821449188,0.7704883178550811,0.57077261993538,0.571490813431576,2.3496321024785485,0.01743979848389089,0.0020787978924927,0.0121417437992153,0.22951168214491885,0.2978782115526987,-1.2110705620764122,-0.01369336800616594,-0.029328996711608823,0.01743979848389089,0.011491298876268178,-0.012596576151169395,-0.006823383460782031,0.016353377228335474,0.010908858823046333,-0.019165922342948276,-0.010702942183834578,-26.302768616786796,-16.735038067070807,-25.69793212766984,-16.35632746664312
2012,15.972909172353836,755414.939595801,2343441.33710294,3098856.27669874,13.535022466131121,14.667131063858744,14.946543658378754,0.0499257693793158,-0.029036194969473,-0.010354386557843,0.2437721766175474,0.7562278233824524,0.568162965987683,0.564929408063707,2.343722102135105,0.015063345807421595,0.0019530775837093,0.0142604944726286,0.24377217661754746,0.32235282686003847,-1.1321085977276224,-0.010354386557843043,-0.029036194969473073,0.015063345807421595,0.010134884755967355,-0.01926072210170099,-0.010627095504598703,0.013269031078759885,0.009148398490465472,-0.02781517217075038,-0.01563969716852482,-26.290228724038233,-16.727880639633,-25.6627672467076,-16.336256315406587
2013,15.996503105826108,799942.390327641,2271590.35432922,3071532.74465686,13.59229499196662,14.63599074077514,14.937687260332439,0.0572725258354989,-0.0311403230836031,-0.0088563980463156,0.2604375264171267,0.7395624735828733,0.567108862532718,0.566433797144341,2.3386902247531425,0.012904402378679831,0.0018267809683224,0.0166653497995792,0.26043752641712675,0.35215081310901974,-1.0436957488085197,-0.008856398046315661,-0.03114032308360315,0.012904402378679831,0.008908253054093816,-0.026851866440364587,-0.014940102587294422,0.01041414613273231,0.0075263585919768585,-0.03785334334608477,-0.021343014276594872,-26.2802023196651,-16.72218400798617,-25.627513019208635,-16.31622616894717
