"asset_family","asset_label","metadata_only","age","mean_life_years","weibull_alpha","weibull_lambda","survival_probability","retirement_mass_from_prior_age"
"ME","Machinery and Equipment",FALSE,59,14,1.7,15.6907663323043,7.46396513138281e-05,2.3349367772049e-05
"ME","Machinery and Equipment",FALSE,60,14,1.7,15.6907663323043,5.66697022985845e-05,1.79699490152436e-05
"ME","Machinery and Equipment",FALSE,61,14,1.7,15.6907663323043,4.28872791201673e-05,1.37824231784172e-05
"ME","Machinery and Equipment",FALSE,62,14,1.7,15.6907663323043,3.23526035239001e-05,1.05346755962672e-05
"ME","Machinery and Equipment",FALSE,63,14,1.7,15.6907663323043,2.43276384334406e-05,8.02496509045956e-06
"ME","Machinery and Equipment",FALSE,64,14,1.7,15.6907663323043,1.82350644198173e-05,6.09257401362324e-06
"ME","Machinery and Equipment",FALSE,65,14,1.7,15.6907663323043,1.36250405770691e-05,4.61002384274825e-06
"ME","Machinery and Equipment",FALSE,66,14,1.7,15.6907663323043,1.01484063726902e-05,3.47663420437889e-06
"ME","Machinery and Equipment",FALSE,67,14,1.7,15.6907663323043,7.5351811932613e-06,2.61322517942887e-06
"ME","Machinery and Equipment",FALSE,68,14,1.7,15.6907663323043,5.57739620640998e-06,1.95778498685133e-06
"ME","Machinery and Equipment",FALSE,69,14,1.7,15.6907663323043,4.11544936951678e-06,1.4619468368932e-06
"ME","Machinery and Equipment",FALSE,70,14,1.7,15.6907663323043,3.02731008194029e-06,1.08813928757649e-06
"ME","Machinery and Equipment",FALSE,71,14,1.7,15.6907663323043,2.22001662985341e-06,8.0729345208688e-07
"ME","Machinery and Equipment",FALSE,72,14,1.7,15.6907663323043,1.62300895572869e-06,5.97007674124715e-07
"ME","Machinery and Equipment",FALSE,73,14,1.7,15.6907663323043,1.18292323243039e-06,4.40085723298302e-07
"ME","Machinery and Equipment",FALSE,74,14,1.7,15.6907663323043,8.5954506544377e-07,3.2337816698662e-07
"ME","Machinery and Equipment",FALSE,75,14,1.7,15.6907663323043,6.22676646823478e-07,2.36868418620292e-07
"ME","Machinery and Equipment",FALSE,76,14,1.7,15.6907663323043,4.49721487864387e-07,1.72955158959091e-07
"ME","Machinery and Equipment",FALSE,77,14,1.7,15.6907663323043,3.23829970592974e-07,1.25891517271413e-07
"ME","Machinery and Equipment",FALSE,78,14,1.7,15.6907663323043,2.32481233413478e-07,9.13487371794959e-08
"ME","Machinery and Equipment",FALSE,79,14,1.7,15.6907663323043,1.66403038978937e-07,6.60781944345409e-08
"ME","Machinery and Equipment",FALSE,80,14,1.7,15.6907663323043,1.18752304672856e-07,4.76507343060806e-08
"ME","Machinery and Equipment",FALSE,81,14,1.7,15.6907663323043,8.44958054282934e-08,3.42564992445629e-08
"ME","Machinery and Equipment",FALSE,82,14,1.7,15.6907663323043,5.99439494158753e-08,2.45518560124181e-08
"ME","Machinery and Equipment",FALSE,83,14,1.7,15.6907663323043,4.24011240499407e-08,1.75428253659347e-08
"ME","Machinery and Equipment",FALSE,84,14,1.7,15.6907663323043,2.99044514261339e-08,1.24966726238067e-08
"ME","Machinery and Equipment",FALSE,85,14,1.7,15.6907663323043,2.10293249188375e-08,8.87512650729647e-09
"ME","Machinery and Equipment",FALSE,86,14,1.7,15.6907663323043,1.47451889093055e-08,6.28413600953194e-09
"ME","Machinery and Equipment",FALSE,87,14,1.7,15.6907663323043,1.03089705339451e-08,4.43621837536046e-09
"ME","Machinery and Equipment",FALSE,88,14,1.7,15.6907663323043,7.18661808624595e-09,3.12235244769913e-09
"ME","Machinery and Equipment",FALSE,89,14,1.7,15.6907663323043,4.99554001648964e-09,2.19107806975631e-09
"ME","Machinery and Equipment",FALSE,90,14,1.7,15.6907663323043,3.46252694553091e-09,1.53301307095873e-09
"ME","Machinery and Equipment",FALSE,91,14,1.7,15.6907663323043,2.39310028408264e-09,1.06942666144827e-09
"ME","Machinery and Equipment",FALSE,92,14,1.7,15.6907663323043,1.64926242863175e-09,7.43837855450892e-10
"ME","Machinery and Equipment",FALSE,93,14,1.7,15.6907663323043,1.1334015933054e-09,5.15860835326351e-10
"ME","Machinery and Equipment",FALSE,94,14,1.7,15.6907663323043,7.76688825050676e-10,3.56712768254726e-10
"ME","Machinery and Equipment",FALSE,95,14,1.7,15.6907663323043,5.30741957415935e-10,2.45946867634741e-10
"ME","Machinery and Equipment",FALSE,96,14,1.7,15.6907663323043,3.61656939904504e-10,1.69085017511431e-10
"ME","Machinery and Equipment",FALSE,97,14,1.7,15.6907663323043,2.45748591233524e-10,1.1590834867098e-10
"ME","Machinery and Equipment",FALSE,98,14,1.7,15.6907663323043,1.66521343840063e-10,7.92272473934612e-11
"ME","Machinery and Equipment",FALSE,99,14,1.7,15.6907663323043,1.12521923503181e-10,5.39994203368823e-11
"ME","Machinery and Equipment",FALSE,100,14,1.7,15.6907663323043,7.58222108111085e-11,3.66997126920723e-11
"ME","Machinery and Equipment",FALSE,101,14,1.7,15.6907663323043,5.09508496905694e-11,2.48713611205392e-11
"ME","Machinery and Equipment",FALSE,102,14,1.7,15.6907663323043,3.41433162087681e-11,1.68075334818013e-11
"ME","Machinery and Equipment",FALSE,103,14,1.7,15.6907663323043,2.2817223409224e-11,1.13260927995441e-11
"ME","Machinery and Equipment",FALSE,104,14,1.7,15.6907663323043,1.52063931090276e-11,7.61083030019641e-12
"ME","Machinery and Equipment",FALSE,105,14,1.7,15.6907663323043,1.01064681464914e-11,5.09992496253615e-12
"ME","Machinery and Equipment",FALSE,106,14,1.7,15.6907663323043,6.69862708184442e-12,3.407841064647e-12
"ME","Machinery and Equipment",FALSE,107,14,1.7,15.6907663323043,4.42780770630443e-12,2.27081937553999e-12
"ME","Machinery and Equipment",FALSE,108,14,1.7,15.6907663323043,2.91884876356421e-12,1.50895894274022e-12
"ME","Machinery and Equipment",FALSE,109,14,1.7,15.6907663323043,1.91892328958758e-12,9.99925473976628e-13
"ME","Machinery and Equipment",FALSE,110,14,1.7,15.6907663323043,1.25814316702213e-12,6.6078012256545e-13
