"year","asset_family","asset_label","real_investment_2017_dollars_millions","mean_life_years","weibull_alpha","weibull_lambda","gross_surviving_stock_2017_dollars_millions","stock_index_1947_100","stock_index_first_valid_100"
1999,"NRC","Nonresidential Structures",685086.942237853,30,1.6,33.4606966397767,28548103.4134209,51.2699799104848,2170.03028652979
2000,"NRC","Nonresidential Structures",718370.171369101,30,1.6,33.4606966397767,28207950.2665258,50.6590936195377,2144.17418603403
2001,"NRC","Nonresidential Structures",698218.508920697,30,1.6,33.4606966397767,27861573.1557791,50.037029615766,2117.84498265417
2002,"NRC","Nonresidential Structures",528129.98015902,30,1.6,33.4606966397767,27358734.0595269,49.1339731153145,2079.62261627429
2003,"NRC","Nonresidential Structures",497032.040490094,30,1.6,33.4606966397767,26838760.0587064,48.200143775061,2040.0977724117
2004,"NRC","Nonresidential Structures",470664.090527347,30,1.6,33.4606966397767,26306821.8211341,47.2448276772102,1999.66348963716
2005,"NRC","Nonresidential Structures",484165.08641228,30,1.6,33.4606966397767,25803123.6922065,46.3402284267071,1961.37582550717
2006,"NRC","Nonresidential Structures",520463.894899728,30,1.6,33.4606966397767,25350626.5644572,45.5275818451358,1926.98010900146
2007,"NRC","Nonresidential Structures",578383.105782125,30,1.6,33.4606966397767,24970875.9063327,44.8455817720982,1898.11407830491
2008,"NRC","Nonresidential Structures",600054.710517087,30,1.6,33.4606966397767,24627282.7372296,44.2285174921289,1871.9964910032
2009,"NRC","Nonresidential Structures",480147.853963077,30,1.6,33.4606966397767,24177838.3060693,43.4213532955176,1837.83281947637
2010,"NRC","Nonresidential Structures",396559.90391071,30,1.6,33.4606966397767,23658907.9019827,42.4893981667593,1798.38730265301
2011,"NRC","Nonresidential Structures",403764.151915936,30,1.6,33.4606966397767,23161671.6963719,41.5964039841599,1760.59082944747
2012,"NRC","Nonresidential Structures",456067.896407867,30,1.6,33.4606966397767,22731468.8290067,40.8237960091979,1727.8897691348
2013,"NRC","Nonresidential Structures",435648.832669549,30,1.6,33.4606966397767,22295474.7302806,40.0407874723763,1694.74849928291
2014,"NRC","Nonresidential Structures",472820.424836534,30,1.6,33.4606966397767,21911177.496975,39.3506221347389,1665.53686924129
2015,"NRC","Nonresidential Structures",438837.709509998,30,1.6,33.4606966397767,21507192.3335625,38.6250989392975,1634.82869829142
2016,"NRC","Nonresidential Structures",395759.456556774,30,1.6,33.4606966397767,21074272.682426,37.8476118503939,1601.92112677974
2017,"NRC","Nonresidential Structures",386432,30,1.6,33.4606966397767,20646189.5907832,37.0788108133965,1569.38119722422
2018,"NRC","Nonresidential Structures",399993.954298247,30,1.6,33.4606966397767,20245843.9503118,36.3598238934259,1538.94967775261
2019,"NRC","Nonresidential Structures",387441.95852595,30,1.6,33.4606966397767,19847009.4009735,35.6435507653634,1508.63302102607
2020,"NRC","Nonresidential Structures",336732.565455598,30,1.6,33.4606966397767,19411408.2111809,34.8612478597648,1475.52161740638
2021,"NRC","Nonresidential Structures",296152.440236021,30,1.6,33.4606966397767,18949213.5891463,34.0311853984068,1440.38876414599
2022,"NRC","Nonresidential Structures",312656.646821552,30,1.6,33.4606966397767,18517668.4188097,33.2561667608035,1407.58567120231
2023,"NRC","Nonresidential Structures",370030.141836663,30,1.6,33.4606966397767,18157660.4226698,32.6096228393945,1380.22034175458
2024,"NRC","Nonresidential Structures",360036.225770161,30,1.6,33.4606966397767,17801539.4569229,31.9700596959122,1353.15047759766
