"year","K_real_ME","K_real_NRC","K_real_capacity","K_current_ME","K_current_NRC","K_current_capacity","pKN_ME","pKN_NRC","pKN_capacity"
1996,127132.118489561,1913277.77081496,2040409.88930452,281885,395488,677373,221.726030643582,20.6707047995202,33.19788850028
1997,140610.374560587,1919440.49413448,2060050.86869507,290196,426779,716975,206.383064483595,22.2345522720903,34.8037522225927
1998,163600.621789422,1913023.3354555,2076623.95724492,312107,458568,770675,190.773724809999,23.9708523937484,37.1119189543813
1999,189744.984529255,1896142.01626733,2085887.00079658,339650,488112,827762,179.003413893995,25.742375613873,39.6839330071037
2000,213114.169094401,1876577.70908748,2089691.87818188,362277,515649,877926,169.991982015765,27.4781586450126,42.0122224317508
2001,232582.397632698,1851783.16523791,2084365.56287061,368120,541439,909559,158.275090353719,29.2387904892978,43.6372110632717
2002,252926.691928788,1802946.87729635,2055873.56922514,378193,559012,937205,149.526725359015,31.0054615052374,45.5867040672756
2003,271244.428046262,1749963.5338693,2021207.96191556,386251,573564,959815,142.399607166907,32.775768688837,47.4871966707648
2004,293687.1856541,1694935.58526688,1988622.77092098,411937,626358,1038295,140.263865814416,36.9546787172667,52.2117625918133
2005,318146.822111514,1638350.46728047,1956497.28939198,429193,688598,1117791,134.904066352598,42.0299571887704,57.1322539550962
2006,344193.775100308,1586755.09065391,1930948.86575422,451522,746433,1197955,131.182500284444,47.0414750453009,62.0397060349957
2007,373023.810378209,1544477.69653691,1917501.50691512,468196,783774,1251970,125.51370367626,50.7468642478559,65.291734868786
2008,382710.267156511,1499414.88777763,1882125.15493414,471175,837715,1308890,123.115327817247,55.8694599359105,69.5431967724697
2009,367720.786179198,1442868.9077203,1810589.6938995,442598,797606,1240204,120.362518692189,55.2791730234314,68.4972417648612
2010,371725.109968707,1369351.2668791,1741076.37684781,439981,789169,1229150,118.361926111755,57.6308664612114,70.5971326901442
2011,382131.76231998,1291481.80309471,1673613.56541469,450692,806696,1257388,117.941517675417,62.4628235618151,75.1301271681818
2012,401177.02286567,1214376.08071339,1615553.10357906,465560,807825,1273385,116.048520594333,66.5218141916497,78.8203740984416
2013,426874.238328452,1135801.54693685,1562675.7852653,483177,820312,1303489,113.189543105721,72.2231803797331,83.4139117205749
2014,459915.314867162,1067870.72220577,1527786.03707293,508720,831007,1339727,110.611667747341,77.8190639297132,87.6907477546245
2015,500247.36810306,1000972.57008912,1501219.93819218,534557,840603,1375160,106.858533214686,83.9786249012957,91.6028334699589
2016,540995.91787486,933279.275617673,1474275.19349253,558538,851249,1409787,103.242553510209,91.2105328211233,95.6257696136254
2017,576353,870082,1446435,576353,870082,1446435,100,100,100
2018,614700.573716588,814113.708899949,1428814.28261654,600056,913516,1513572,97.61760858168,112.20987805676,105.932031784302
2019,655636.569866369,765469.558820849,1421106.12868722,619937,951749,1571686,94.5549758041037,124.335316673612,110.595962417802
2020,667510.480139749,713619.798094833,1381130.27823458,620002,968440,1588442,92.8827364433585,135.708118326519,115.010294469137
2021,677106.34716865,659288.783359281,1336395.13052793,661410,1128553,1789963,97.6818490574952,171.177339655268,133.939652959742
2022,669000.699117839,614583.074250407,1283583.77336825,677969,1330810,2008779,101.340551795235,216.538667554937,156.497693541947
2023,677787.873878416,575229.516639023,1253017.39051744,681447,1328411,2009858,100.539863025381,230.935819803146,160.401444960793
2024,705284.097682181,540771.858924272,1246055.95660645,696613,1348568,2045181,98.7705525034979,249.378361270986,164.132356107819
