"year","asset","I_current","K_current_anchor","K_quantity_index","pKN_guardian","K_real_guardian","K_current_reconstructed","I_real_guardian","consumption_of_fixed_capital_real","depletion_rate_guardian","coherence_residual_current","coherence_residual_real","current_anchor_residual","price_status","first_complete_vintage_year","L","alpha","d_parameter"
1939,"NRC",40,2565,9.133,0.170358560606522,1505647.84702801,2565,23479.8884526785,85340.8450871023,0.0544436145351823,-0.000000000000454747350886464,0.00000000023283064365387,0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1940,"NRC",68,2983,9.162,0.204999009476529,1455128.98214346,2983,33170.8919831564,83689.7568677008,0.0555838850584455,-0.000000000000454747350886464,-0.00000000023283064365387,0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1941,"NRC",117,3541,9.338,0.249809352647879,1417480.95596375,3541,46835.7164212816,84483.7426010013,0.0580592810931119,0.000000000000909494701772928,0,-0.000000000000454747350886464,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1942,"NRC",49,3409,9.248,0.251273655298404,1356688.18760629,3409,19500.6515672362,80293.4199246892,0.056645148978455,0.000000000000454747350886464,0.00000000023283064365387,0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1943,"NRC",9,3516,9.038,0.274316939543071,1281729.08528966,3516,3280.87649818173,78239.978814812,0.0576698312328175,0,-0.00000000023283064365387,0.00000000000136424205265939,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1944,"NRC",9,3572,8.834,0.295880478735092,1207244.22755787,3572,3041.76877044257,77526.6265022312,0.0604859696108954,0,0,0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1945,"NRC",29,3622,8.691,0.316454374611414,1144556.77992999,3622,9164.03827111259,71851.4858989929,0.0595169430168581,0.000000000000454747350886464,0.00000000023283064365387,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1946,"NRC",176,4660,8.899,0.416975175558102,1117572.52545378,4660,42208.7477424603,69193.0022186756,0.0604539708575294,-0.000000000000909494701772928,-0.00000000023283064365387,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1947,"NRC",190,5533,9.024,0.509903565998494,1085107.139654,5533,37261.9476837628,69727.3334835422,0.0623917749366916,-0.00000000000181898940354586,-0.00000000023283064365387,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1948,"NRC",219,5849,9.159,0.554667259348487,1054506.08475976,5849,39483.1308877394,70084.1857819765,0.0645873418585411,0.00000000000181898940354586,0.00000000023283064365387,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1949,"NRC",196,5216,9.261,0.507352328557344,1028082.40081044,5216,38631.9307053002,65055.6146546251,0.0616929722785299,0,0,-0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1950,"NRC",202,5736,9.367,0.580744906047822,987696.99747098,5736,34782.913788204,75168.3171276611,0.0731150704149842,0.00000000000181898940354586,-0.000000000116415321826935,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1951,"NRC",339,6711,9.638,0.705448873748233,951309.194717785,6711,48054.5100595036,84442.3128126981,0.085494147525926,0,0.00000000023283064365387,0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1952,"NRC",325,6989,9.863,0.762443173946933,916658.47879785,6989,42626.1275732295,77276.843493165,0.0812320998496076,-0.00000000000181898940354586,-0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1953,"NRC",434,7013,10.246,0.780125555377467,898957.860264779,7013,55632.0706338106,73332.6891668813,0.0800000118507095,0.00000000000181898940354586,0.00000000023283064365387,0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1954,"NRC",482,6944,10.708,0.787159946585303,882158.706133747,6944,61232.7903739151,78031.944504947,0.0868026722431277,0,-0.000000000116415321826935,-0.000000000000909494701772928,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1955,"NRC",654,7752,11.397,0.878436301535812,882477.191168763,7752,74450.475106343,74131.9900713269,0.0840347542407948,-0.00000000000272848410531878,-0.00000000023283064365387,-0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1956,"NRC",795,8997,12.184,1.01476034939084,886613.278238641,8997,78343.6207846749,74207.5337147965,0.0840900302664086,-0.00000000000181898940354586,0,-0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1957,"NRC",739,9548,12.836,1.08883013431315,876904.459116848,9548,67871.0091419513,77579.8282637444,0.0875013155880832,-0.00000000000181898940354586,-0.000000000116415321826935,-0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1958,"NRC",711,9867,13.462,1.14852090107379,859104.957582839,9867,61905.7084059389,79705.2099399478,0.090893835823598,0.00000000000181898940354586,0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1959,"NRC",724,10286,14.1,1.22455582553593,839978.038199958,10286,59123.478481117,78250.3978639985,0.0910836297396796,0,-0.000000000116415321826935,-0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1960,"NRC",856,10710,14.904,1.30821097231701,818675.292184046,10710,65432.8711586876,86735.6171745991,0.103259386829292,0,0.000000000116415321826935,-0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1961,"NRC",917,11482,15.775,1.41552956979639,811145.188697935,11482,64781.4089911171,72311.512477229,0.0883274640966844,0.00000000000363797880709171,0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1962,"NRC",971,12328,16.682,1.49229116824046,826112.240182708,12328,65067.7307931059,50100.6793083327,0.061765365814171,0.00000000000181898940354586,0,-0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1963,"NRC",986,13147,17.563,1.55286543875624,846628.411701274,13147,63495.5209505937,42979.3494320275,0.0520260411860281,-0.00000000000727595761418343,-0.000000000465661287307739,-0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1964,"NRC",1147,14417,18.603,1.64189508184063,878070.722024331,14417,69858.300489832,38415.9901667746,0.0453752669244573,0.00000000000363797880709171,0.000000000349245965480804,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1965,"NRC",1167,15619,19.598,1.72783183600752,903965.286117809,15619,67541.2951469033,41646.7310534253,0.0474298140329877,-0.00000000000363797880709171,-0.000000000116415321826935,-0.00000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1966,"NRC",1139,16992,20.482,1.84234298629971,922303.834104633,16992,61823.4502733744,43484.9022865508,0.0481046152483378,0.00000000000363797880709171,0.00000000023283064365387,-0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1967,"NRC",1176,18290,21.345,1.95259323412897,936703.030631925,18290,60227.5978142779,45828.4012869862,0.0496890499555129,0.00000000000363797880709171,-0.000000000116415321826935,0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1968,"NRC",1673,20741,22.677,2.1472164566252,965948.259943891,20741,77914.8275823793,48669.5982704131,0.0519584080320305,0.00000000000363797880709171,0.000000000116415321826935,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1969,"NRC",1633,23183,23.803,2.3442399118914,988934.617246378,23183,69660.1056793053,46673.7483768183,0.0483190977325529,-0.00000000000727595761418343,-0.00000000023283064365387,-0.00000000000363797880709171,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1970,"NRC",1616,25735,24.786,2.56384262477145,1003766.75819929,25735,63030.3897901711,48198.2488372582,0.0487375484655022,0.00000000000727595761418343,0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1971,"NRC",1885,29454,25.858,2.89369821139745,1017867.02856535,29454,65141.5545883647,51041.2842223016,0.0508497455264081,-0.0000000000145519152283669,-0.000000000349245965480804,-0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1972,"NRC",1940,32720,26.77,3.19514025026679,1024055.20375101,32720,60717.2095133543,54529.0343277019,0.0535718642979905,0,0,-0.0000000000181898940354586,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1973,"NRC",2473,37161,28,3.56013061639765,1043810.0172179,37161,69463.7435101279,49708.9300432369,0.048541260140233,0.0000000000145519152283669,0.000000000349245965480804,-0.00000000000727595761418343,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1974,"NRC",3423,45046,29.673,4.17818985049843,1078122.38341985,45046,81925.4299703892,47613.0637684351,0.0456146836905626,-0.00000000000727595761418343,-0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1975,"NRC",3550,48954,31.17,4.41256805957468,1109421.98146443,48954,80452.0168770424,49152.4188324619,0.0455907599993873,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1976,"NRC",3422,53650,32.468,4.74949241751197,1129594.39206989,53650,72049.8044671608,51877.393861699,0.0467607409339601,-0.0000000000145519152283669,-0.000000000465661287307739,-0.0000000000218278728425503,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1977,"NRC",3825,60663,33.829,5.31143139467012,1142121.50157627,60663,72014.485658956,59487.3761525754,0.0526625986904639,0.0000000000436557456851006,0.000000000931322574615479,0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1978,"NRC",4783,69679,35.468,5.99276497155523,1162718.71716533,69679,79812.9081100727,59215.6925210213,0.0518471042172799,-0.0000000000145519152283669,-0.00000000023283064365387,-0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1979,"NRC",6616,83106,37.672,6.94019956523667,1197458.36151854,83106,95328.6708517637,60589.0264985476,0.0521097885533845,0.0000000000436557456851006,0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1980,"NRC",8754,98681,40.418,7.9181715295028,1246259.94312347,98681,110555.826776206,61754.2451712826,0.051571100220111,-0.0000000000582076609134674,-0.000000000698491930961609,-0.0000000000145519152283669,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1981,"NRC",11685,114853,43.934,8.71744588710827,1317507.46132935,114853,134041.554731992,62794.0365261069,0.050385986384773,0.0000000000291038304567337,0,-0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1982,"NRC",13192,130250,47.649,9.36760749946998,1390429.73360455,130250,140825.71244308,67903.4401678841,0.0515393211506903,-0.0000000000291038304567337,-0.00000000023283064365387,-0.0000000000436557456851006,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1983,"NRC",11900,142678,50.658,9.90019068779676,1441164.16036177,142678,120199.70498819,69465.2782309706,0.0499595747646226,0.0000000000873114913702011,0.000000000931322574615479,0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1984,"NRC",15408,159979,54.641,10.5758411247214,1512683.4652049,159979,145690.539582552,74171.2347394163,0.0514661943305595,-0.0000000000873114913702011,-0.00000000116415321826935,-0.0000000000291038304567337,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1985,"NRC",20052,180670,59.901,11.1948137230396,1613872.32043148,180670,179118.657050379,77929.8018238035,0.0515175868688744,-0.0000000000582076609134674,-0.000000000698491930961609,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1986,"NRC",19973,203108,64.777,11.9710941253937,1696653.60469564,203108,166843.563259872,84062.278995705,0.0520873169032545,0.000000000145519152283669,0.000000000931322574615479,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1987,"NRC",19048,224140,69.011,12.7491044328853,1758084.27313411,224140,149406.57283242,87975.904393953,0.0518526021755246,-0.0000000000291038304567337,-0.00000000023283064365387,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1988,"NRC",19302,245423,73.003,13.5442339548804,1812010.93260477,245423,142510.828329608,88584.1688589475,0.0503867591631599,0.0000000000873114913702011,0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1989,"NRC",22294,269955,77.537,14.3818355189765,1877055.2593499,269955,155014.983800806,89970.6570556814,0.0496523809193294,-0.0000000000582076609134674,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1990,"NRC",22632,292069,81.867,15.0968324254879,1934637.623101,292069,149912.242264745,92329.8785136421,0.049188684272204,0,-0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1991,"NRC",17974,303155,84.711,15.5131327303111,1954182.98334846,303155,115863.122635963,96317.7623885014,0.0497859450464502,-0.0000000000582076609134674,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1992,"NRC",16869,319096,87.128,16.2809779420286,1959931.40667716,319096,103611.712146931,97863.2888182304,0.0500788767746525,0,0,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1993,"NRC",14580,336834,88.736,17.3177538178212,1945021.29746974,336834,84191.0570699773,99101.1662774024,0.0505635890826491,0,0,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1994,"NRC",16725,359985,90.682,18.5974368030813,1935669.9732963,359985,89931.7479988907,99283.0721723233,0.0510447223901764,-0.000000000116415321826935,-0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1995,"NRC",16293,375533,92.331,19.580722064355,1917871.05074958,375533,83209.3931288672,101008.315675591,0.0521826122578023,0,0,-0.0000000000582076609134674,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1996,"NRC",19857,395488,94.709,20.6707047995202,1913277.77081496,395488,96063.4878809789,100656.767815602,0.0524835951698951,0.000000000116415321826935,0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1997,"NRC",23585,426779,97.729,22.2345522720903,1919440.49413448,426779,106073.644800147,99910.9214806185,0.0522197680883847,-0.000000000116415321826935,-0.00000000023283064365387,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1998,"NRC",22494,458568,100.183,23.9708523937484,1913023.3354555,458568,93838.9658845274,100256.124563515,0.0522319524204486,0.000000000174622982740402,0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
1999,"NRC",22425,488112,102.338,25.742375613873,1896142.01626733,488112,87113.1722121047,103994.491400272,0.0543613292492904,-0.0000000000582076609134674,-0.000000000465661287307739,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2000,"NRC",22704,515649,104.318,27.4781586450126,1876577.70908748,515649,82625.623839321,102189.931019175,0.0538936061447242,-0.0000000000582076609134674,0,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2001,"NRC",22169,541439,105.984,29.2387904892978,1851783.16523791,541439,75820.509771478,100615.053621041,0.0536162468166408,0,-0.00000000023283064365387,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2002,"NRC",16039,559012,106.338,31.0054615052374,1802946.87729635,559012,51729.5960819377,100565.884023499,0.0543075916831647,-0.000000000116415321826935,0.00000000023283064365387,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2003,"NRC",14910,573564,106.392,32.775768688837,1749963.5338693,573564,45490.9239247778,98474.267351828,0.0546185073957904,-0.000000000116415321826935,0,0.000000000349245965480804,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2004,"NRC",16140,626358,106.351,36.9546787172667,1694935.58526688,626358,43675.119254815,98703.0678572371,0.0564029283735971,0,0,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2005,"NRC",17989,688598,106.384,42.0299571887704,1638350.46728047,688598,42800.4242764404,99385.5422628527,0.0586367665690397,0.000000000116415321826935,0.000000000465661287307739,0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2006,"NRC",21407,746433,106.813,47.0414750453009,1586755.09065391,746433,45506.6512675997,97102.0278941584,0.0592681662644136,-0.000000000116415321826935,-0.000000000465661287307739,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2007,"NRC",26008,783774,107.696,50.7468642478559,1544477.69653691,783774,51250.4573149047,93527.8514318982,0.0589428400027096,0,0,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2008,"NRC",26132,837715,108.391,55.8694599359105,1499414.88777763,837715,46773.3177123544,91836.1264716403,0.0594609599591879,0.000000000116415321826935,0,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2009,"NRC",19351,797606,108.158,55.2791730234314,1442868.9077203,797606,35005.9505987863,91551.9306561148,0.0610584377962321,-0.00000000023283064365387,-0.000000000465661287307739,-0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2010,"NRC",10847,789169,106.863,57.6308664612114,1369351.2668791,789169,18821.511224893,92339.152066094,0.0639969103028131,0.000000000349245965480804,0.000000000465661287307739,0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2011,"NRC",9078,806696,105.338,62.4628235618151,1291481.80309471,806696,14533.4448274118,92402.9086117967,0.0674793318900511,-0.000000000349245965480804,-0.000000000698491930961609,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2012,"NRC",11056,807825,103.951,66.5218141916497,1214376.08071339,807825,16620.1119652985,93725.8343466214,0.0725723228326027,0.000000000116415321826935,0.00000000023283064365387,-0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2013,"NRC",9376,820312,102.488,72.2231803797331,1135801.54693685,820312,12981.9816168481,91556.5153933896,0.075393872497558,-0.00000000023283064365387,-0.00000000023283064365387,-0.000000000465661287307739,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2014,"NRC",12446,831007,101.404,77.8190639297132,1067870.72220577,831007,15993.5102936233,83924.3350247014,0.0738899636569764,0,0,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2015,"NRC",15767,840603,100.709,83.9786249012957,1000972.57008912,840603,18775.0156882561,85673.1678049102,0.0802280332472694,0,0,-0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2016,"NRC",19228,851249,100.413,91.2105328211233,933279.275617673,851249,21080.8986695745,88774.1931410191,0.0886879379053468,0,0.000000000116415321826935,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2017,"NRC",19520,870082,100,100,870082,870082,19520,82717.2756176731,0.0886307858523144,-0.000000000116415321826935,0,0.000000000116415321826935,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2018,"NRC",22380,913516,99.798,112.20987805676,814113.708899949,913516,19944.768132338,75913.0592323889,0.0872481665318773,-0.00000000023283064365387,-0.000000000116415321826935,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2019,"NRC",28445,951749,100.268,124.335316673612,765469.558820849,951749,22877.65114611,71521.8012252104,0.0878523484414142,0,0,-0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2020,"NRC",26240,968440,100.423,135.708118326519,713619.798094833,968440,19335.6155280745,71185.37625409,0.0929956984360632,0.000000000349245965480804,0.00000000023283064365387,0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2021,"NRC",22166,1128553,100.005,171.177339655268,659288.783359281,1128553,12949.1438788802,67280.1586144319,0.0942801177798756,-0.00000000023283064365387,-0.00000000023283064365387,-0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2022,"NRC",28252,1330810,99.635,216.538667554937,614583.074250407,1330810,13047.092382626,57752.801491501,0.0875986410647433,0.000000000465661287307739,0.00000000023283064365387,0,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2023,"NRC",31533,1328411,99.378,230.935819803146,575229.516639023,1328411,13654.4430512683,53008.0006626517,0.0862503425225375,-0.00000000023283064365387,-0.000000000116415321826935,0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
2024,"NRC",31589,1348568,99.044,249.378361270986,540771.858924272,1348568,12667.0974333951,47124.7551481462,0.0819233954187346,0,0.000000000116415321826935,-0.00000000023283064365387,"RECOVERED_GPIM_GUARDIAN_PRICE",1931,30,1.6,0.024
