"run_id","det_tag","cell_id","status","include","LRinclude","p","r","q_tag","qY","qK","qE","model_class","logLik","T_eff","T_eff_common","k_gamma","k_pi","k_det","k_sigma","k_total","ICOMP_pen","RICOMP_pen","ICOMP_flag","RICOMP_flag","ICOMP_stabilized","RICOMP_stabilized","AIC","BIC","HQ","AICc","stability_margin","unit_root_count","unstable_count","expected_unit_roots","unit_root_mismatch","fail_code","fail_msg","window_tag","window_start","window_end"
1772640372,"SR_none__LR_both","p02_E_only_r2_none_both","computed","none","both",2,2,"E_only",0,0,2,"VECM_ranked_qrestricted",456.212160495858,62,57,6,12,0,6,24,0.832683822202601,0.832683822202601,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-864.424320991717,-815.391090563687,-845.368336773158,-826.924320991717,-0.128736536047749,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_Y_short_r0_none_both","computed","none","both",2,0,"Y_short",1,2,2,"VAR_diff_r0",461.611166570428,62,57,15,0,0,6,21,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-881.222333140857,-838.318256516331,-864.548346949618,-854.822333140857,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_Y_short_r1_none_both","computed","none","both",2,1,"Y_short",1,2,2,"VECM_ranked_qrestricted",465.813620558964,62,57,15,7,0,6,28,1.30287740862763,1.30287740862763,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-875.627241117928,-818.421805618561,-853.39525952961,-817.627241117928,0.11339907299863,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_Y_short_r2_none_both","computed","none","both",2,2,"Y_short",1,2,2,"VECM_ranked_qrestricted",481.521561792467,62,57,15,12,0,6,33,0.850431902720491,0.850431902720491,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-897.043123584933,-829.622431746393,-870.841145284415,-799.477906193629,-0.0547281588254895,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_K_short_r0_none_both","computed","none","both",2,0,"K_short",2,1,2,"VAR_diff_r0",461.611166570428,62,57,15,0,0,6,21,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-881.222333140857,-838.318256516331,-864.548346949618,-854.822333140857,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_K_short_r1_none_both","computed","none","both",2,1,"K_short",2,1,2,"VECM_ranked_qrestricted",464.349404852057,62,57,15,7,0,6,28,1.18673965942238,1.18673965942238,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-872.698809704114,-815.493374204746,-850.466828115795,-814.698809704114,0.296810381819744,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_K_short_r2_none_both","computed","none","both",2,2,"K_short",2,1,2,"VECM_ranked_qrestricted",477.672331938808,62,57,15,12,0,6,33,0.821624834802126,0.821624834802126,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-889.344663877616,-821.923972039075,-863.142685577097,-791.779446486311,-0.0521083921415317,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_E_short_r0_none_both","computed","none","both",2,0,"E_short",2,2,1,"VAR_diff_r0",461.611166570428,62,57,15,0,0,6,21,1.41602656785874,1.41602656785874,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-881.222333140857,-838.318256516331,-864.548346949618,-854.822333140857,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_E_short_r1_none_both","computed","none","both",2,1,"E_short",2,2,1,"VECM_ranked_qrestricted",467.461531686107,62,57,15,7,0,6,28,1.24226534343045,1.24226534343045,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-878.923063372214,-821.717627872847,-856.691081783895,-820.923063372214,0.10517571472899,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p02_E_short_r2_none_both","computed","none","both",2,2,"E_short",2,2,1,"VECM_ranked_qrestricted",478.951874700211,62,57,15,12,0,6,33,0.891228719972233,0.891228719972233,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-891.903749400422,-824.483057561882,-865.701771099904,-794.338532009117,-0.0335579919342253,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_sym_r0_none_both","computed","none","both",3,0,"sym",3,3,3,"VAR_diff_r0",474.863901377384,61,57,27,0,0,6,33,1.17079350195798,1.17079350195798,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-883.727802754767,-816.307110916227,-857.525824454249,-786.162585363463,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_sym_r1_none_both","computed","none","both",3,1,"sym",3,3,3,"VECM_ranked_qrestricted",480.934065078535,61,57,27,7,0,6,40,1.21489697443209,1.21489697443209,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-881.868130157069,-800.146079443687,-850.108156459472,-676.868130157069,0.0993199650514269,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_sym_r2_none_both","computed","none","both",3,2,"sym",3,3,3,"VECM_ranked_qrestricted",488.267050718358,61,57,27,12,0,6,45,1.00762796509031,1.00762796509031,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-886.534101436717,-794.596794384162,-850.804131026919,-510.170465073081,-0.0286171433105091,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_Y_only_r0_none_both","computed","none","both",3,0,"Y_only",3,0,0,"VAR_diff_r0",474.863901377384,61,57,9,0,0,6,15,1.17079350195798,1.17079350195798,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-919.727802754767,-889.082033737249,-907.817812618168,-908.020485681597,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_Y_only_r1_none_both","computed","none","both",3,1,"Y_only",3,0,0,"VECM_ranked_qrestricted",454.107727462012,61,57,9,7,0,6,22,1.08621358306616,1.08621358306616,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-864.215454924024,-819.268327031664,-846.747469390345,-834.450749041671,0.16633119646434,2,0,2,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_Y_only_r2_none_both","computed","none","both",3,2,"Y_only",3,0,0,"VECM_ranked_qrestricted",458.980869714889,61,57,9,12,0,6,27,1.03802376108364,1.03802376108364,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-863.961739429778,-808.799355198245,-842.523757183899,-811.823808395295,-0.140416219812233,1,1,1,0,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_K_only_r0_none_both","computed","none","both",3,0,"K_only",0,3,0,"VAR_diff_r0",474.863901377384,61,57,9,0,0,6,15,1.17079350195798,1.17079350195798,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-919.727802754767,-889.082033737249,-907.817812618168,-908.020485681597,NA,NA,NA,3,NA,NA,NA,"shaikh_window",1947,2011
1772640372,"SR_none__LR_both","p03_K_only_r1_none_both","computed","none","both",3,1,"K_only",0,3,0,"VECM_ranked_qrestricted",443.195281971986,61,57,9,7,0,6,22,0.925102603721253,0.925102603721253,"ok","complexity_component_only_requires_robust_fit_term",FALSE,FALSE,-842.390563943971,-797.443436051611,-824.922578410292,-812.625858061618,0.300754414735345,2,0,2,0,NA,NA,"shaikh_window",1947,2011
