"year","asset","nominal_investment_source","deflator_or_price_source","reconstructed_real_investment","S29C_real_investment","absolute_difference","relative_difference","reconstruction_status"
2005,"NRC",232903,48.1040468501846,484165.08641228,484165.08641228,1.74622982740402e-10,3.60668267169735e-16,"PASS"
2006,"NRC",279674,53.7355237780484,520463.894899728,520463.894899728,-3.49245965480804e-10,-6.71028228669137e-16,"PASS"
2007,"NRC",334230,57.7869575820396,578383.105782125,578383.105782125,3.49245965480804e-10,6.03831546926898e-16,"PASS"
2008,"NRC",379019,63.1640737681047,600054.710517087,600054.710517087,1.16415321826935e-10,1.94007845928942e-16,"PASS"
2009,"NRC",296308,61.7118242962689,480147.853963077,480147.853963077,1.74622982740402e-10,3.63685854886338e-16,"PASS"
2010,"NRC",261211,65.8692412984885,396559.90391071,396559.90391071,4.07453626394272e-10,1.02747055962071e-15,"PASS"
2011,"NRC",289128,71.6081402046303,403764.151915936,403764.151915936,1.16415321826935e-10,2.8832505628477e-16,"PASS"
2012,"NRC",345599,75.7779713770791,456067.896407867,456067.896407867,-2.91038304567337e-10,-6.38146878698644e-16,"PASS"
2013,"NRC",352973,81.0223679097379,435648.832669549,435648.832669549,-4.65661287307739e-10,-1.06889139230394e-15,"PASS"
2014,"NRC",411762,87.0863394157215,472820.424836534,472820.424836534,-4.07453626394272e-10,-8.61751322471187e-16,"PASS"
2015,"NRC",395080,90.0287262097741,438837.709509998,438837.709509998,1.16415321826935e-10,2.65281035116428e-16,"PASS"
2016,"NRC",374670,94.6711427339579,395759.456556774,395759.456556774,4.65661287307739e-10,1.1766270637198e-15,"PASS"
2017,"NRC",386432,100,386432,386432,0,0,"PASS"
2018,"NRC",424814,106.205105210977,399993.954298247,399993.954298247,-4.07453626394272e-10,-1.01864946211278e-15,"PASS"
2019,"NRC",441717,114.008560580414,387441.95852595,387441.95852595,-1.16415321826935e-10,-3.00471642952263e-16,"PASS"
2020,"NRC",394581,117.179340663453,336732.565455598,336732.565455598,-5.82076609134674e-11,-1.72860206837175e-16,"PASS"
2021,"NRC",407673,137.656471672191,296152.440236021,296152.440236021,-4.65661287307739e-10,-1.57237025275438e-15,"PASS"
2022,"NRC",505523,161.686311530273,312656.646821552,312656.646821552,0,0,"PASS"
2023,"NRC",623036,168.37439158538,370030.141836663,370030.141836663,0,0,"PASS"
2024,"NRC",629156,174.747971167112,360036.225770161,360036.225770161,4.07453626394272e-10,1.1317017489634e-15,"PASS"
