year,y_t,K_ME_repaired,K_NRC_repaired,K_cap_repaired,k_ME,k_NRC,k_Kcap,g_K_ME,g_K_NRC,g_Kcap,ME_share,NRC_share,omega_NFC,omega_CORP,Q_omega,Q_MEshare,Q_q_if_retained,q_proxy_if_retained
2016,16.068306277745762,980790.733059923,2079217.07166972,3060007.80472964,13.796114395771083,14.547501972967188,14.933928024490553,0.06880787322664261,-0.02868720592923779,0.0015390767848515452,0.32051902990050624,0.6794809700994937,0.582943530383766,0.57183540015035,2.336569851643587,0.01197570463658223,0.0017690462150973239,0.020851731530636464
2017,16.094975324178556,1043317.3379843,2018394.35548266,3061711.69346696,13.857915942725242,14.517812879774485,14.934484694485583,0.06180154695415929,-0.029689093192702742,0.0005566699950296794,0.34076276359087526,0.6592372364091248,0.586156566953376,0.577766513666986,2.3368943588157483,0.012154127963363862,0.0017806537483848436,0.020243733690369026
2018,16.131633302053437,1110613.93400177,1959312.86591069,3069926.79991246,13.920423514083863,14.488104391122656,14.937164275602392,0.06250757135862095,-0.029708488651829512,0.0026795811168085493,0.3617721223950485,0.6382278776049515,0.584943959084541,0.574809036253505,2.33846501288405,0.013067229429993468,0.0018348984749152575,0.02100935880417326
2019,16.157940015754328,1182885.74528324,1904540.46266283,3087426.20794607,13.983467557808789,14.459751310494392,14.942848359372372,0.06304404372492556,-0.028353080628264138,0.005684083769979864,0.3831300460684248,0.6168699539315752,0.587441985101222,0.576378084153845,2.3417898833482305,0.015123572479330332,0.001954317430311742,0.0213579236733763
2020,16.116045350528143,1228455.53103888,1847641.86471586,3076097.39575474,14.021268272517666,14.42942071625344,14.939172272225631,0.03780071470887769,-0.030330594240952635,-0.003676087146740059,0.3993552131132931,0.6006447868867069,0.60484793205077,0.592623908718225,2.3396303954173443,0.01371515304144827,0.0018758038416149883,0.01622516704486826
2021,16.2083992277063,1270750.39487779,1785817.0255864,3056567.42046419,14.055118146052985,14.395386585890565,14.932803086268885,0.033849873535318764,-0.03403413036287439,-0.006369185956746293,0.4157442712926665,0.5842557287073336,0.579714486970795,0.570493812651767,2.3357780064625593,0.01117158542633366,0.0017724627355269506,0.016389058179373417
2022,16.244800193580545,1294124.11123958,1725613.90183897,3019738.01307856,14.073344662302665,14.361093430259547,14.92068063495176,0.018226516249679747,-0.034293155631017314,-0.012122451317125638,0.42855509505616074,0.5714449049438393,0.56475673366441,0.555000855599031,2.328750445816423,0.006131745737214437,0.0015737871756139566,0.012810823763494239
2023,16.26222439279725,1329725.51119848,1667595.76170726,2997321.27290574,14.100483096340591,14.326893483433174,14.913229538720234,0.027138434037926373,-0.03419994682637295,-0.007451096231525511,0.4436379654121573,0.5563620345878427,0.565941031361275,0.555665323570836,2.3245423890464876,0.0029385404834404204,0.0014783324949470473,0.015082870355996536
2024,16.28903686325013,1380855.9516735,1610204.81282781,2991060.76450131,14.13821411969073,14.291871941806294,14.911138653186836,0.03773102335013867,-0.03502154162688065,-0.0020908855333985343,0.4616609492063347,0.5383390507936653,0.56912875490843,0.55676416577035,2.3233590711312577,0.002010944279493781,0.0014467959395175684,0.01802298379417744
2025,16.319368655904782,,,,,,,,,,,,0.566460048121974,0.553057731097018,,,,
