"scenario_id","input_id","engine_id","initialization","year","investment","stock","retirement","index_1947"
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1946,1991026.13819632,42920214.3786395,1742757.68400322,99.2066785311973
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1947,2112758.39208197,43263432.4766175,1769540.29410401,100
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1948,2210009.69829507,43675547.8195755,1797894.35533702,100.952571997566
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1949,1968346.30645763,43818029.1949433,1825864.93108987,101.281906419759
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1950,1866821.08290775,43836625.3347969,1848224.94305415,101.324889925202
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1951,2085027.73809375,44055064.0584979,1866589.01439278,101.829793746273
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1952,2048618.22110684,44217662.7238106,1886019.55579408,102.205627691952
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1953,2094691.8857379,44408809.916267,1903544.69328149,102.647449298593
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1954,1927756.5068081,44416283.5650844,1920282.85799073,102.664724046318
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1955,1853313.10859886,44336597.3930684,1932999.28061486,102.480535766622
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1956,2016704.21156382,44410230.8629695,1943070.74166273,102.650733704432
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1957,1966418.88102518,44422560.1437209,1954089.60027373,102.679231861064
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1958,1610268.1020819,44069115.2049413,1963713.04086156,101.862271859172
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1959,1562755.69317395,43665961.3475538,1965909.55056145,100.930413626228
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1960,1604675.97545006,43305129.5832824,1965507.73972148,100.096379561856
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1961,1490654.87669333,42831623.2767555,1964161.18322024,99.0019072109099
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1962,1509388.95534065,42381624.979692,1959387.25240414,97.9617717632504
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1963,1493615.79111113,41921519.4812105,1953721.28959264,96.8982743194677
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1964,1608112.48471385,41582683.1666916,1946948.79923273,96.1150809963257
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1965,1839662.20714749,41480768.0366268,1941577.33721226,95.879512239455
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1966,1991143.3473894,41531310.8032296,1940600.58078659,95.9963378441505
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1967,1887839.0495999,41475648.1778401,1943501.67498945,95.8676780910908
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1968,1870152.88581411,41400220.8999083,1945580.1637459,95.6933339079922
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1969,1916580.27563958,41368761.9860708,1948039.18947706,95.6206191185346
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1970,1815754.13790128,41232644.1608654,1951871.96310674,95.305993538886
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1971,1704432.31498443,40983061.2038583,1954015.27199153,94.7291022874995
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1972,1790098.8882297,40819271.7003678,1953888.39172019,94.3505158136246
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1973,1895896.86498827,40760179.4590833,1954989.10627269,94.2139287748676
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1974,1763511.18158344,40565229.5011395,1958461.13952733,93.7633173767793
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1975,1585687.98937596,40191146.8117112,1959770.67880423,92.8986548476782
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1976,1563883.11173408,39797975.1870215,1957054.73642375,91.9898697555518
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1977,1646565.48948887,39491727.3942724,1952813.28223795,91.2820022211979
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1978,1803086.64189652,39345298.8944369,1949515.14173208,90.9435443332005
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1979,1882974.2863846,39279361.8626833,1948911.31813819,90.7911361030185
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1980,1811837.55876175,39141224.9804905,1949974.44095456,90.4718436329459
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1981,1840026.44490376,39031756.0751176,1949495.35027661,90.218814922309
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1982,1737933.57827129,38820729.8957177,1948959.75767119,89.7310446107093
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1983,1555633.69521199,38430690.865904,1945672.72502574,88.8295002637032
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1984,1716795.13610415,38209231.427571,1938254.57443715,88.3176142998406
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1985,1744674.43722419,38020999.2390746,1932906.62572052,87.8825304941391
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1986,1523072.35113551,37616440.5406326,1927631.04957753,86.9474250822866
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1987,1409752.00688364,37108147.0995368,1918045.44797948,85.7725450230806
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1988,1376725.54030589,36579509.2357762,1905363.40406649,84.5506404410844
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1989,1378538.0986811,36067018.7417923,1891028.59266499,83.3660592263117
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1990,1441230.49731903,35632417.61029,1875831.62882136,82.3615131082079
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1991,1304991.45728219,35076631.7916915,1860777.27588071,81.0768581772823
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1992,1234884.03992531,34468989.1658264,1842526.66579035,79.6723403406695
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1993,1256118.05003702,33902692.7593171,1822414.45654632,78.3633910176693
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1994,1277889.16386455,33378150.2389209,1802431.68426073,77.150952497726
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1995,1383510.21083371,32978529.6858266,1783130.76392805,76.2272612180054
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1996,1429524.35413822,32641619.1106579,1766434.92930688,75.4485190889551
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1997,1471364.25198043,32361373.851988,1751609.51065037,74.8007543541033
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1998,1519042.1276998,32141517.7390905,1738898.24059731,74.2925743500864
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",1999,1540376.23376638,31953422.8976482,1728471.07520861,73.8578080112299
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2000,1622616.14289573,31855951.518242,1720087.52230192,73.6325106322971
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2001,1512385.30119835,31653416.3386226,1714920.48081778,73.1643665946531
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2002,1237250.56014515,31181857.6039787,1708809.29478909,72.0743959019698
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2003,1211885.78314743,30696012.1418195,1697731.24530657,70.9514025693864
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2004,1202681.55661761,30213068.2038295,1685625.49460765,69.8351158802731
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2005,1279366.86963607,29819482.0305659,1672953.0428997,68.9253725919282
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2006,1353575.12093851,29511309.9370481,1661747.21445625,68.2130571886501
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2007,1415761.19204913,29274692.7843442,1652378.34475306,67.6661353677063
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2008,1372420.1762314,29002394.6093368,1644718.35123883,67.0367396877528
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2009,1070047.47876566,28436006.2581442,1636435.82995823,65.7275778418944
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2010,1067780.07980769,27882325.1721124,1621461.16583947,64.4477878337137
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2011,1138231.35194297,27415276.8940349,1605279.63002051,63.3682427043947
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2012,1236947.70379725,27062215.4136003,1590009.18423185,62.5521690361174
"chapter2_current__mean_age_hazard","chapter2_current","mean_age_hazard","cold_start_1925",2013,1207938.12819373,26693376.7618083,1576776.77998568,61.699627684963
