"stage_id","year","ME_support_status","NRC_support_status","CORE_support_status","core_status_rule"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1921,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1922,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1923,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1924,"partial_vintage_warmup","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1925,"fully_supported","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1926,"fully_supported","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1927,"fully_supported","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1928,"fully_supported","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1929,"fully_supported","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1930,"fully_supported","partial_vintage_warmup","partial_vintage_warmup","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1931,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1932,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
"S29E_STOCK_FLOW_CONSISTENT_CORE_CAPITAL_AGGREGATION",1933,"fully_supported","fully_supported","fully_supported","CORE fully_supported iff ME fully_supported AND NRC fully_supported"
